CaseID,Domain,Hop,Codeword,Layer,Port,PRB,Symbol,Subcarrier,LinearIndex0Based,Status
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,4,220,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,5,221,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,6,222,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,7,223,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,8,224,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,9,225,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,10,226,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,6,1,11,227,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,1,1,229,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,1,2,230,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,1,3,231,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,1,4,232,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,1,5,233,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,1,6,234,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,1,7,235,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,1,8,236,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,1,9,237,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,1,10,238,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,7,1,11,239,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,0,240,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,1,241,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,2,242,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,3,243,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,4,244,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,5,245,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,6,246,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,7,247,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,8,248,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,9,249,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,10,250,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,8,1,11,251,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,1,1,253,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,1,2,254,PASS
RESOURCE-R1-PTRS,DATA,0,0,0,0,9,1,3,255,PASS
