sha256,copy_count,relative_paths
2e9fbbb3006a6fada5444e2da3de23d7ed2b413ed082cb477d1083cdb868f35d,2,analytics/image/contract__measurement-csi-link-adaptation-analytics__cqi-pmi-ri-cri-ssbri-trends.png|ssb/image/contract__measurement-csi-link-adaptation-analytics__cqi-pmi-ri-cri-ssbri-trends.png
2ed39991b21eadc2093915510d5df92c6276335def83c9f2a2e3018a876bd9f4,2,reports/image/contract__measurements-csi-link-adaptation-inputs__rsrp-csi-rsrp-timeline.png|validation/image/contract__measurements-csi-link-adaptation-inputs__rsrp-csi-rsrp-timeline.png
2f0911251875aa4b72931f0d52a3b39fd8da8c95b66896013c96957188b9cb07,2,analytics/image/contract__channel-estimation-propagation-analytics__nmse-vs-snr-sinr.png|validation/image/contract__channel-estimation-propagation-analytics__nmse-vs-snr-sinr.png
2fed5d40fde4ba8c31e014332dc6fffb4521aba96bb17cd906a9fad3df15dc59,2,analytics/image/contract__measurement-csi-link-adaptation-analytics__quality-vs-selected-mcs-mismatch-plot.png|validation/image/contract__measurement-csi-link-adaptation-analytics__quality-vs-selected-mcs-mismatch-plot.png
2fef1bdbbc90535d70b632c2cdb43b83445b3ec8bd6e510b48b12c89c22e9fec,2,reports/image/contract__power-energy-thermal-compute-runtime__tx-power-timeline-per-ue.png|validation/image/contract__power-energy-thermal-compute-runtime__tx-power-timeline-per-ue.png
306fb2f89b20e66e58d5096e21b86cd1f3d78facab3bf43fc780d55a8adc2817,2,reports/image/power_energy_cumulative.png|validation/image/power_energy_cumulative.png
310f1b7cb35059115a1e7fe9e78eb2d81b94c215313cfa504c0f14262c0b5175,2,analytics/image/contract__runtime-compute-complexity-parallelism-analytics__decoder-complexity-units.png|validation/image/contract__runtime-compute-complexity-parallelism-analytics__decoder-complexity-units.png
31e6e5543d8bd72156d916e54add3f27599a5d3318818d592e0724a017055c9d,2,reports/image/contract__persistence-export-consistency-browser-health__consistency-failure-trend.png|validation/image/contract__persistence-export-consistency-browser-health__consistency-failure-trend.png
331760b51ba06ad443a1e852ef94fb8cfe139830fbd5b3da4e70dab34aec0bc7,2,reference_signals/image/contract__srs-ul-sounding-massive-mimo-inputs__srs-validity-timeline.png|reports/image/contract__srs-ul-sounding-massive-mimo-inputs__srs-validity-timeline.png
33da71964506a7586420a1a55f88616c5c2711bc1db94b4644eb08240e6acf39,2,analytics/image/contract__measurement-csi-link-adaptation-analytics__per-layer-quality-plot.png|validation/image/contract__measurement-csi-link-adaptation-analytics__per-layer-quality-plot.png
3491a079e4a1743615cfee33fcb85aa10d37b6366c24d8df125b6ea2ae936ffe,2,reports/image/contract__gnb-side-state-thread-coordinator-phy-mac-api__per-cell-context-health-timeline.png|validation/image/contract__gnb-side-state-thread-coordinator-phy-mac-api__per-cell-context-health-timeline.png
35302a38887b45b77a4187619607b2cedd6ef934bb5c9ac338f25f827f6b628f,2,analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pattern-3d.png|mimo/image/contract__beamforming-precoding-mimo-analytics__beam-pattern-3d.png
3574db64f6c5a6e751b1c84f43b0af2987e2d94c1d8c4db383dac0903468fbf7,2,analytics/image/contract__resource-grid-re-occupancy-analytics__pdsch-map.png|pdsch/image/contract__resource-grid-re-occupancy-analytics__pdsch-map.png
36074b214fe29348e8488fdaea8c4d93ea1ba6136b68463e7d27b90e77e83e52,4,analytics/image/contract__resource-grid-re-occupancy-analytics__re-occupancy-heatmap.png|reports/image/contract__air-interface-frame-slot-symbol-grid__re-occupancy-heatmap.png|validation/image/contract__air-interface-frame-slot-symbol-grid__re-occupancy-heatmap.png|validation/image/contract__resource-grid-re-occupancy-analytics__re-occupancy-heatmap.png
36f36815df5848f8a696f2cecf8244b77237693758939e308dad4e4fb6307f23,2,reports/image/contract__air-interface-frame-slot-symbol-grid__ssb-occasion-timeline.png|ssb/image/contract__air-interface-frame-slot-symbol-grid__ssb-occasion-timeline.png
376d1e3687a037e3796853e5f9cbd2c1c9ee1678a76b61ca4978fcb52c3dda61,2,analytics/image/contract__error-reliability-analytics__fer.png|validation/image/contract__error-reliability-analytics__fer.png
386ff6c3e60edc30aa4979259f27971ad7909afae9844ec64881ac1165dc8e75,2,analytics/image/contract__detection-control-analytics__pbch-pdcch-pucch-detection-and-decode-timelines.png|ssb/image/contract__detection-control-analytics__pbch-pdcch-pucch-detection-and-decode-timelines.png
38a9ccf8beafd765b49d3e6488f0616ac8f7c02fe9d288301c50ff98eddd019c,2,analytics/image/contract__export-consistency-truth-analytics__config-drift.png|validation/image/contract__export-consistency-truth-analytics__config-drift.png
38c04cc4d8d861543b466d6908e50c5429cb9d8a71422af6773cbadd4085eb24,2,reference_signals/image/contract__scheduler-mac-queue-qos-power-control-uci-flow__cqi-vs-selected-mcs.png|reports/image/contract__scheduler-mac-queue-qos-power-control-uci-flow__cqi-vs-selected-mcs.png
39701de44fde34393e8732b1bbb450a669a9102a42e0a1df3496eac53cb90b54,2,analytics/image/contract__measurement-csi-link-adaptation-analytics__applied-awgn-snr-vs-measured-runtime-sinr-comparison.png|validation/image/contract__measurement-csi-link-adaptation-analytics__applied-awgn-snr-vs-measured-runtime-sinr-comparison.png
398812a9ccd1d93eddd6e04c47ee16237ac35d2d8264868ee9dc8970d159396f,2,analytics/image/contract__export-consistency-truth-analytics__db-vs-browser-consistency.png|validation/image/contract__export-consistency-truth-analytics__db-vs-browser-consistency.png
3a1268ddb8ca7fa7eb779ab5ad3fad835c3034718fca14949192f5f5eff92c1b,4,analytics/image/contract__power-energy-efficiency-analytics__power-vs-throughput.png|reports/image/contract__power-energy-thermal-compute-runtime__power-vs-throughput.png|validation/image/contract__power-energy-efficiency-analytics__power-vs-throughput.png|validation/image/contract__power-energy-thermal-compute-runtime__power-vs-throughput.png
3a3ba659194c65083cccad5b7010a92318fee1bf8800ef4c97e86d255b1295fc,2,analytics/image/contract__waveform-time-domain-analytics__rx-waveform.png|waveform/image/contract__waveform-time-domain-analytics__rx-waveform.png
3a45b37c2f5366d95e5a814738edbe2dae3705f6990012734c4ff0b023498073,2,analytics/image/contract__resource-grid-re-occupancy-analytics__dmrs-ptrs-occupancy-map.png|reference_signals/image/contract__resource-grid-re-occupancy-analytics__dmrs-ptrs-occupancy-map.png
3cb33da43599ef002b3a0a13dd636074b69b5f1152033b4c6b74c3e0bb8c5f6e,4,analytics/image/contract__harq-analytics__retransmission-count-histogram.png|mac_harq_scheduler/image/contract__harq-ack-nack-retransmission__retransmission-count-histogram.png|mac_harq_scheduler/image/contract__harq-analytics__retransmission-count-histogram.png|reports/image/contract__harq-ack-nack-retransmission__retransmission-count-histogram.png
3db8556798db683e6169c1796a23980ebb5c63500a6f24a9a92158312df22954,2,reports/image/contract__ue-side-state-ue-power-ue-control__drx-state-timeline.png|validation/image/contract__ue-side-state-ue-power-ue-control__drx-state-timeline.png
3ed88f6dd250a8b850e718ad5ec93d71b141659ee94288b7637ea21c92f19007,2,analytics/image/contract__beamforming-precoding-mimo-analytics__beam-pair-timeline.png|mimo/image/contract__beamforming-precoding-mimo-analytics__beam-pair-timeline.png
4032ad63b0a81a6ce75f68904f4ce167294db24cd5d75612c88363bf338f239f,4,analytics/image/contract__beamforming-precoding-mimo-analytics__precoder-mode-distribution.png|mimo/image/contract__beamforming-precoding-mimo-analytics__precoder-mode-distribution.png|mimo/image/contract__beamforming-precoding-mimo-massive-mimo__precoder-mode-distribution.png|reports/image/contract__beamforming-precoding-mimo-massive-mimo__precoder-mode-distribution.png
407ea9fb6c3a65a815965c0a2da6699fde92d385a460e349a2570bcbfe3b0a97,2,reports/image/metric_coverage_by_category.png|validation/image/metric_coverage_by_category.png
40a165c81a9d2cf4d7e72dfd51a19f0dc279021d230353aff3f0831a23a8434a,2,pdcch/image/contract__dl-control-phy-pdcch__pdcch-dmrs-occupancy.png|reports/image/contract__dl-control-phy-pdcch__pdcch-dmrs-occupancy.png
4134c0147b06302f96778ad3a6033d0181d198947060d6072b82019b9c52f723,2,reports/image/contract__run-trial-scenario-overview__run-health-timeline.png|validation/image/contract__run-trial-scenario-overview__run-health-timeline.png
42940b3cc4bf45b5f021db0e8ad5a9aa45c6c00666acbbd7f985aa972434920a,2,analytics/image/contract__harq-analytics__residual-failure-patterns.png|mac_harq_scheduler/image/contract__harq-analytics__residual-failure-patterns.png
42e2ccfc21e9f4079f76541e9f1ff3fc374d1650430a9045991deb99165e6230,2,analytics/image/contract__export-consistency-truth-analytics__summary-vs-raw-contradiction-checks.png|validation/image/contract__export-consistency-truth-analytics__summary-vs-raw-contradiction-checks.png
4564c1554b11e52917373bb6026b9b16d35a50876b5d24eef8f3203028369e7d,2,analytics/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-cdf.png|waveform/image/contract__throughput-goodput-spectral-efficiency-analytics__throughput-cdf.png
46745fdf9bb84a8d90ddbc9274de54f73471454db6e623118ddc89e009c470c6,2,analytics/image/contract__beamforming-precoding-mimo-analytics__beam-id-timeline.png|mimo/image/contract__beamforming-precoding-mimo-analytics__beam-id-timeline.png
468717ed6d6efc77e56d3c8a833dca0941697eef2be3d85a8d4ce243c2c81e9e,2,analytics/image/contract__beamforming-precoding-mimo-analytics__inter-user-leakage.png|mimo/image/contract__beamforming-precoding-mimo-analytics__inter-user-leakage.png
46a68687dbaf70303c0acc722fa3e1578147ace31c6935fc86380245c66f9be2,2,reports/image/equalized_constellations.png|waveform/image/equalized_constellations.png
46b4e328dbd75935639ece38b3f326e973e9537cc85d6391385d60abba958697,2,mac_harq_scheduler/image/contract__harq-ack-nack-retransmission__residual-bler-by-harq-process.png|reports/image/contract__harq-ack-nack-retransmission__residual-bler-by-harq-process.png
485b7b8f0d83025d813fe51b4c43509c5d8f8d26c8d6685214e9667fc054d390,2,reports/image/contract__measurements-csi-link-adaptation-inputs__measurement-source-coverage-chart.png|validation/image/contract__measurements-csi-link-adaptation-inputs__measurement-source-coverage-chart.png
48b35e8c17048cad2e9fa0f80e6071e14957cfcc17ef1a391859f84755e9de67,2,reports/image/contract__power-energy-thermal-compute-runtime__tx-power-timeline-per-cell.png|validation/image/contract__power-energy-thermal-compute-runtime__tx-power-timeline-per-cell.png
4938800a2453cae8c9b8e44f1a671c3370291c5a3c50c00daae3d489c2e6133b,2,reports/image/prb_allocation_heatmap.png|validation/image/prb_allocation_heatmap.png
49d1f4d0d2f4a7113ac889d305781c786cef39a4185bfeabe2ba36ef7b11e4bb,2,analytics/image/contract__resource-grid-re-occupancy-analytics__pucch-map.png|pucch/image/contract__resource-grid-re-occupancy-analytics__pucch-map.png
4aeca99844952ae503870237f5eaeabbc4ddd20d8735d4ad4bc06db06004618b,2,components/pdsch/png/pdsch_bler_vs_snr.png|pdsch/image/pdsch_bler_vs_snr.png
4bdf931a1c80955e4405dc1f5e9a48340436f4df6a2f1793320c3c43f1be7a64,2,channel/image/contract__scenario-geometry-topology-layout__bs-sector-ue-topology-scatter-plot.png|reports/image/contract__scenario-geometry-topology-layout__bs-sector-ue-topology-scatter-plot.png
4ca37af1324643abeb4605bfacca88f78a75ec23a972e220e31de152d027f52b,2,reports/image/heatmap_impairment_kpi.png|validation/image/heatmap_impairment_kpi.png
