CaseID,Channel,Mu,MRB,Pathloss_dB,P0_dBm,Alpha,DeltaTF_dB,TPC_dB,RequestedPower_dBm,AppliedPower_dBm,MeasuredPower_dBm,PCMAX_dBm,Status
PC-00127,SRS,2,50,60,-84,0.8,0,1,-11.9897000433602,-11.9897000433602,-11.9897000433602,23,PASS
PC-00128,SRS,2,50,90,-84,0.8,0,1,12.0102999566398,12.0102999566398,12.0102999566398,23,PASS
PC-00129,SRS,2,50,120,-84,0.8,0,1,36.0102999566398,23,23,23,PASS
PC-00130,SRS,2,100,60,-84,0.8,0,1,-8.97940008672037,-8.97940008672037,-8.97940008672037,23,PASS
PC-00131,SRS,2,100,90,-84,0.8,0,1,15.0205999132796,15.0205999132796,15.0205999132796,23,PASS
PC-00132,SRS,2,100,120,-84,0.8,0,1,39.0205999132796,23,23,23,PASS
PC-00133,SRS,3,1,60,-84,0.8,0,1,-25.9691001300806,-25.9691001300806,-25.9691001300806,23,PASS
PC-00134,SRS,3,1,90,-84,0.8,0,1,-1.96910013008056,-1.96910013008056,-1.96910013008057,23,PASS
PC-00135,SRS,3,1,120,-84,0.8,0,1,22.0308998699194,22.0308998699194,22.0308998699194,23,PASS
PC-00136,SRS,3,10,60,-84,0.8,0,1,-15.9691001300806,-15.9691001300806,-15.9691001300806,23,PASS
PC-00137,SRS,3,10,90,-84,0.8,0,1,8.03089986991944,8.03089986991944,8.03089986991944,23,PASS
PC-00138,SRS,3,10,120,-84,0.8,0,1,32.0308998699194,23,23,23,PASS
PC-00139,SRS,3,50,60,-84,0.8,0,1,-8.97940008672037,-8.97940008672037,-8.97940008672037,23,PASS
PC-00140,SRS,3,50,90,-84,0.8,0,1,15.0205999132796,15.0205999132796,15.0205999132796,23,PASS
PC-00141,SRS,3,50,120,-84,0.8,0,1,39.0205999132796,23,23,23,PASS
PC-00142,SRS,3,100,60,-84,0.8,0,1,-5.96910013008056,-5.96910013008056,-5.96910013008056,23,PASS
PC-00143,SRS,3,100,90,-84,0.8,0,1,18.0308998699194,18.0308998699194,18.0308998699194,23,PASS
PC-00144,SRS,3,100,120,-84,0.8,0,1,42.0308998699194,23,23,23,PASS
PC-00145,PRACH,0,1,60,-100,0.8,0,1,-51,-51,-51,23,PASS
PC-00146,PRACH,0,1,90,-100,0.8,0,1,-27,-27,-27,23,PASS
PC-00147,PRACH,0,1,120,-100,0.8,0,1,-3,-3,-2.99999999999999,23,PASS
PC-00148,PRACH,0,10,60,-100,0.8,0,1,-41,-41,-41,23,PASS
PC-00149,PRACH,0,10,90,-100,0.8,0,1,-17,-17,-17,23,PASS
PC-00150,PRACH,0,10,120,-100,0.8,0,1,7,7,7,23,PASS
PC-00151,PRACH,0,50,60,-100,0.8,0,1,-34.0102999566398,-34.0102999566398,-34.0102999566398,23,PASS
PC-00152,PRACH,0,50,90,-100,0.8,0,1,-10.0102999566398,-10.0102999566398,-10.0102999566398,23,PASS
PC-00153,PRACH,0,50,120,-100,0.8,0,1,13.9897000433602,13.9897000433602,13.9897000433602,23,PASS
PC-00154,PRACH,0,100,60,-100,0.8,0,1,-31,-31,-31,23,PASS
PC-00155,PRACH,0,100,90,-100,0.8,0,1,-7,-7,-7,23,PASS
PC-00156,PRACH,0,100,120,-100,0.8,0,1,17,17,17,23,PASS
PC-00157,PRACH,1,1,60,-100,0.8,0,1,-47.9897000433602,-47.9897000433602,-47.9897000433602,23,PASS
PC-00158,PRACH,1,1,90,-100,0.8,0,1,-23.9897000433602,-23.9897000433602,-23.9897000433602,23,PASS
PC-00159,PRACH,1,1,120,-100,0.8,0,1,0.0102999566398125,0.0102999566398125,0.0102999566398174,23,PASS
PC-00160,PRACH,1,10,60,-100,0.8,0,1,-37.9897000433602,-37.9897000433602,-37.9897000433602,23,PASS
PC-00161,PRACH,1,10,90,-100,0.8,0,1,-13.9897000433602,-13.9897000433602,-13.9897000433602,23,PASS
PC-00162,PRACH,1,10,120,-100,0.8,0,1,10.0102999566398,10.0102999566398,10.0102999566398,23,PASS
