RunID,StageIndex,StageName,Direction,InputReferencePlane,OutputReferencePlane,InputPower_dBm,OutputPower_dBm,StateID,Status
RF-019,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-1.74999999999997,-2.74999999999997,RFSTATE-019,PASS
RF-020,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,0,0,RFSTATE-020,PASS
RF-020,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,0,-0.500000000000025,RFSTATE-020,PASS
RF-020,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,-0.500000000000025,-0.750000000000007,RFSTATE-020,PASS
RF-020,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,-0.750000000000007,-1.74999999999997,RFSTATE-020,PASS
RF-021,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,0.999999999999998,0.999999999999998,RFSTATE-021,PASS
RF-021,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,0.999999999999998,0.499999999999965,RFSTATE-021,PASS
RF-021,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,0.499999999999965,0.250000000000049,RFSTATE-021,PASS
RF-021,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,0.250000000000049,-0.750000000000007,RFSTATE-021,PASS
RF-022,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,1.99999999999997,1.99999999999997,RFSTATE-022,PASS
RF-022,2,dac_and_reconstruction,TX,DAC_INPUT,POST_RECONSTRUCTION_FILTER,1.99999999999997,1.49999999999999,RFSTATE-022,PASS
RF-022,3,pa_no_restoration,TX,PA_INPUT,PA_OUTPUT,1.49999999999999,1.25000000000002,RFSTATE-022,PASS
RF-022,4,antenna_connector,TX,PA_OUTPUT,TX_ANTENNA_CONNECTOR_OR_DECLARED_TAB,1.25000000000002,0.250000000000049,RFSTATE-022,PASS
RF-023,1,digital_scaling,TX,DIGITAL_LAYER_PORT,DAC_INPUT,2.99999999999997,2.99999999999997,RFSTATE-023,PASS
