CaseID,TrueTiming_samples,EstimatedTiming_samples,Error_samples,PeakMetric,FalseLock,Status
TSC-0074-TA,0,0,0,1,0,PASS
TSC-0075-TA,0,0,0,1,0,PASS
TSC-0076-TA,0,0,0,1,0,PASS
TSC-0077-TA,0,0,0,1,0,PASS
TSC-0078-TA,0,0,0,1,0,PASS
TSC-0079-TA,0,0,0,1,0,PASS
TSC-0080-TA,0,0,0,1,0,PASS
TSC-0081-TA,0.25,0.249621654460084,-0.000378345539915642,0.999999767197234,0,PASS
TSC-0082-TA,0.25,0.250021994118776,2.19941187760142e-05,0.999999999217204,0,PASS
TSC-0083-TA,0.25,0.249641453735444,-0.000358546264556003,0.999999817558289,0,PASS
TSC-0084-TA,0.25,0.25358178043291,0.00358178043290996,0.999980429239003,0,PASS
TSC-0085-TA,0.25,0.250825352599416,0.00082535259941624,0.999998968431898,0,PASS
TSC-0086-TA,0.25,0.254820446098805,0.00482044609880483,0.999967581487962,0,PASS
TSC-0087-TA,0.25,0.245679808212541,-0.00432019178745924,0.999967103221023,0,PASS
TSC-0088-TA,0.25,0.248240014170952,-0.00175998582904835,0.999995078053999,0,PASS
TSC-0089-TA,0.25,0.24669197834246,-0.00330802165754027,0.99998354120959,0,PASS
TSC-0090-TA,0.25,0.250628208626466,0.000628208626465732,0.999999407016055,0,PASS
TSC-0091-TA,2.5,2.49514772260707,-0.00485227739292693,0.999960675908316,0,PASS
TSC-0092-TA,2.5,2.50207623402329,0.00207623402329338,0.999992462870741,0,PASS
TSC-0093-TA,2.5,2.49813413439647,-0.00186586560353197,0.999993905872024,0,PASS
TSC-0094-TA,2.5,2.49546456304404,-0.00453543695596492,0.999959996528453,0,PASS
TSC-0095-TA,2.5,2.4976563618262,-0.00234363817379935,0.999989645160039,0,PASS
TSC-0096-TA,2.5,2.50142562085073,0.00142562085072706,0.999996960702927,0,PASS
TSC-0097-TA,2.5,2.49855795560584,-0.00144204439416118,0.999996758826547,0,PASS
TSC-0098-TA,2.5,2.50287705003351,0.0028770500335078,0.999984713528443,0,PASS
TSC-0099-TA,2.5,2.49998061594426,-1.93840557440872e-05,0.999999999290024,0,PASS
TSC-0100-TA,2.5,2.49861271758255,-0.00138728241745145,0.999996581095564,0,PASS
