CaseID,ProfileID,Offset_Hz,ExpectedPSD_dBcHz,MeasuredPSD_dBcHz,Error_dB,ChainID,MeasurementMethod,Status
PN-0007,OSC_FR1_A,10000,-95,-94.7174074938355,0.282592506164463,4,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,100000,-110,-110.704968102426,-0.70496810242625,4,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,1000000,-130,-129.539008515262,0.460991484737548,4,runtime_filter_transfer_psd,PASS
PN-0007,OSC_FR1_A,10000000,-145,-145.012812288861,-0.0128122888613973,4,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,1000,-85,-85.0258034648201,-0.0258034648201289,1,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,10000,-95,-94.7174074938355,0.282592506164463,1,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,100000,-110,-110.704968102426,-0.70496810242625,1,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,1000000,-130,-129.539008515262,0.460991484737548,1,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,10000000,-145,-145.012812288861,-0.0128122888613973,1,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,1000,-85,-85.0258034648201,-0.0258034648201289,2,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,10000,-95,-94.7174074938355,0.282592506164463,2,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,100000,-110,-110.704968102426,-0.70496810242625,2,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,1000000,-130,-129.539008515262,0.460991484737548,2,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,10000000,-145,-145.012812288861,-0.0128122888613973,2,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,1000,-85,-85.0258034648201,-0.0258034648201289,3,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,10000,-95,-94.7174074938355,0.282592506164463,3,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,100000,-110,-110.704968102426,-0.70496810242625,3,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,1000000,-130,-129.539008515262,0.460991484737548,3,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,10000000,-145,-145.012812288861,-0.0128122888613973,3,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,1000,-85,-85.0258034648201,-0.0258034648201289,4,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,10000,-95,-94.7174074938355,0.282592506164463,4,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,100000,-110,-110.704968102426,-0.70496810242625,4,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,1000000,-130,-129.539008515262,0.460991484737548,4,runtime_filter_transfer_psd,PASS
PN-0008,OSC_FR1_A,10000000,-145,-145.012812288861,-0.0128122888613973,4,runtime_filter_transfer_psd,PASS
PN-0009,OSC_FR1_A,1000,-85,-85.0258034648201,-0.0258034648201289,1,runtime_filter_transfer_psd,PASS
PN-0009,OSC_FR1_A,10000,-95,-94.7174074938355,0.282592506164463,1,runtime_filter_transfer_psd,PASS
PN-0009,OSC_FR1_A,100000,-110,-110.704968102426,-0.70496810242625,1,runtime_filter_transfer_psd,PASS
PN-0009,OSC_FR1_A,1000000,-130,-129.539008515262,0.460991484737548,1,runtime_filter_transfer_psd,PASS
