CaseID,Method,SINRPerRESHA256,EffectiveSINRDb,ExpectedSINRDb,AbsoluteErrorDb,CalibrationDatasetID,Status
EFF-0014,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,0,0,0,EESM-ANALYTIC-EFF-0014,PASS
EFF-0015,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,4.2823,4.2823,2.2714e-10,EESM-ANALYTIC-EFF-0015,PASS
EFF-0016,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,-2.6499,-2.6499,3.0692e-11,EESM-ANALYTIC-EFF-0016,PASS
EFF-0017,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,2.6616,2.6616,1.7617e-10,EESM-ANALYTIC-EFF-0017,PASS
EFF-0018,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,-1.4399,-1.4399,1.907e-10,EESM-ANALYTIC-EFF-0018,PASS
EFF-0019,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,-0.92291,-0.92291,3.8995e-10,EESM-ANALYTIC-EFF-0019,PASS
EFF-0020,EESM,1c10b03518fff8fc374a20bbf5107c66496656bec0662d6c6db123d4a898f121,0,0,0,EESM-ANALYTIC-EFF-0020,PASS
EFF-0021,EESM,7515a192e11586ce3e4d719d3f1fba5f1ecbc7c80dde584cf4a5768b91a4d28a,4.2823,4.2823,2.2714e-10,EESM-ANALYTIC-EFF-0021,PASS
EFF-0022,EESM,7b02470d5225e31a10febc7ef9f88fbe58ac47bb04c48815bfa22af50950e1ae,-2.6499,-2.6499,3.0692e-11,EESM-ANALYTIC-EFF-0022,PASS
EFF-0023,EESM,17ec0c346922df8a32b8fee47a41171e9d6fddd3b46b04f9c3a70d9eb7b14af7,2.6616,2.6616,1.7617e-10,EESM-ANALYTIC-EFF-0023,PASS
EFF-0024,EESM,4717d8d25c4da7219cae681db4021e8854c3dad3d9998a8ed0719b891acfeba4,-1.4399,-1.4399,1.907e-10,EESM-ANALYTIC-EFF-0024,PASS
EFF-0025,EESM,c05a35e7324b66a0d9e4b3a934fb5e0e2a929d34b657c12580858d15e3df0e4a,-0.086791,-0.086791,4.5007e-10,EESM-ANALYTIC-EFF-0025,PASS
