RunID,Slot,Symbol,PRB,Subcarrier,ResourceType,ResourceID,OwnerUE,Port,OrthogonalityID,CollisionStatus,Status
RSLA_PHASE09_R18,0,2,12,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,12,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,12,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,12,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,13,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,13,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,13,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,13,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,13,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,13,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,14,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,14,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,14,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,14,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,14,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,14,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,15,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,15,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,15,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,15,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,15,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,15,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,16,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,16,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,16,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,16,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,16,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,16,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,17,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,17,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,17,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,17,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,17,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,17,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,18,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,18,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,18,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,18,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,18,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,18,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,19,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,19,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,19,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,19,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,19,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,19,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,20,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,20,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,20,4,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,20,6,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,20,8,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,20,10,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,21,0,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,21,2,DMRS,DMRS-001,1,0,DMRS-001-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,0,0,DMRS,DMRS-002,1,0,DMRS-002-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,0,2,DMRS,DMRS-002,1,0,DMRS-002-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,0,4,DMRS,DMRS-002,1,0,DMRS-002-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,0,6,DMRS,DMRS-002,1,0,DMRS-002-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,0,8,DMRS,DMRS-002,1,0,DMRS-002-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,0,10,DMRS,DMRS-002,1,0,DMRS-002-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,1,0,DMRS,DMRS-002,1,0,DMRS-002-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,1,2,DMRS,DMRS-002,1,0,DMRS-002-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,1,4,DMRS,DMRS-002,1,0,DMRS-002-P0,resolved_before_waveform,PASS
RSLA_PHASE09_R18,0,2,1,6,DMRS,DMRS-002,1,0,DMRS-002-P0,resolved_before_waveform,PASS
