RunID,ExperimentID,Mode,TimingMismatchFractionCP,PhaseMismatchDeg,PowerDeltaDB,CombinedSINRDB,BLER,CoherentGainDB,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T123109Z,F41_P06_B,CJT,0,0,0,7.2682163058951392,0.40400000000000003,3.0102999566398121,PASS,F41,baseline,trp_power_delta_db,0,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F41_P06_T,CJT,0,0,10,6.2306104589949651,0.48749999999999999,1.9726941097396409,PASS,F41,treatment,trp_power_delta_db,10,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P01_B,CJT,0,0,0,-7.5097016056555441,1,3.0102999566398121,PASS,F42,baseline,csi_owner,per_trp,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P01_T,CJT,0,0,0,-10.301785511638361,1,3.0102999566398121,PASS,F42,treatment,csi_owner,shared_wrong,-5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P02_B,CJT,0,0,0,-2.7624341268224817,0.98350000000000004,3.0102999566398121,PASS,F42,baseline,csi_owner,per_trp,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P02_T,CJT,0,0,0,-5.9124781793117611,0.999,3.0102999566398121,PASS,F42,treatment,csi_owner,shared_wrong,0,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P03_B,CJT,0,0,0,1.2649487641585728,0.84599999999999997,3.0102999566398121,PASS,F42,baseline,csi_owner,per_trp,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P03_T,CJT,0,0,0,-2.6725565311006956,0.97999999999999998,3.0102999566398121,PASS,F42,treatment,csi_owner,shared_wrong,5,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P04_B,CJT,0,0,0,4.5404481953200326,0.62749999999999995,3.0102999566398121,PASS,F42,baseline,csi_owner,per_trp,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P04_T,CJT,0,0,0,-0.48489497254711994,0.9325,3.0102999566398121,PASS,F42,treatment,csi_owner,shared_wrong,10,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P05_B,CJT,0,0,0,6.2293518390976566,0.48149999999999998,3.0102999566398121,PASS,F42,baseline,csi_owner,per_trp,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P05_T,CJT,0,0,0,0.33205138649908961,0.90049999999999997,3.0102999566398121,PASS,F42,treatment,csi_owner,shared_wrong,15,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P06_B,CJT,0,0,0,7.1090726551849439,0.42449999999999999,3.0102999566398121,PASS,F42,baseline,csi_owner,per_trp,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T123109Z,F42_P06_T,CJT,0,0,0,0.78029462370858604,0.874,3.0102999566398121,PASS,F42,treatment,csi_owner,shared_wrong,20,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
