RunID,ExperimentID,Rank,Layer,MeasuredSINRDB,EVMPercent,BLER,GoodputMbps,RankCollapsed,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,XPRDB,CodewordCount,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F02_P06_T,8,7,-2.5939906479279013,177.00352652931718,0.96199999999999997,0.014592000000000003,false,PASS,F02,treatment,rank,8,20,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F02_P06_T,8,8,-2.7439906479279013,177.10352652931718,0.96199999999999997,0.014592000000000003,false,PASS,F02,treatment,rank,8,20,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P01_B,1,1,-7.503260366332082,315.25769646088014,1,0,false,PASS,F05,baseline,polarization_model,co-polar,-5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P01_T,2,1,-8.4723604964126498,352.46881985826161,1,0,false,PASS,F05,treatment,polarization_model,dual-polar,-5,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P01_T,2,2,-8.6223604964126501,352.56881985826163,1,0,false,PASS,F05,treatment,polarization_model,dual-polar,-5,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P02_B,1,1,-3.107672802475848,192.91088563765231,0.98450000000000004,0.00074399999999999987,false,PASS,F05,baseline,polarization_model,co-polar,0,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P02_T,2,1,-4.0767729325564135,215.68092694273915,0.99399999999999999,0.00057600000000000001,false,PASS,F05,treatment,polarization_model,dual-polar,0,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P02_T,2,2,-4.2267729325564138,215.78092694273914,0.99399999999999999,0.00057600000000000001,false,PASS,F05,treatment,polarization_model,dual-polar,0,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P03_B,1,1,1.3465884999141129,111.38180351363181,0.84050000000000002,0.0076560000000000039,false,PASS,F05,baseline,polarization_model,co-polar,5,100,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F05_P03_T,2,1,0.37748836983354878,124.52864205650286,0.89500000000000002,0.010080000000000006,false,PASS,F05,treatment,polarization_model,dual-polar,5,10,1,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
