RunID,ExperimentID,Receiver,Samples,AgeSlots,ConditionNumber,MinEigenvalue,ShrinkageFactor,MeasuredSINRDB,BLER,FallbackUsed,Status,FamilyID,Variant,FactorName,FactorValue,SNRDB,InterferenceLevelDB,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F28_P05_B,MMSE,32,0,1,1,0,4.1402742068528884,0.64749999999999996,false,PASS,F28,baseline,receiver,MMSE,15,10.859725793147112,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F28_P05_T,IRC,64,0,1.27101814018063,0.11637809168321496,0.080000000000000002,7.0915533622076596,0.42299999999999999,false,PASS,F28,treatment,receiver,IRC,15,7.9084466377923404,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F28_P06_B,MMSE,32,0,1,1,0,4.8233868214461335,0.57250000000000001,false,PASS,F28,baseline,receiver,MMSE,20,15.176613178553866,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F28_P06_T,IRC,64,0,1.7939836036788133,0.10210678739484173,0.080000000000000002,8.9217205369958457,0.30399999999999999,false,PASS,F28,treatment,receiver,IRC,20,11.078279463004154,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P01_B,MMSE,32,0,1,1,0,150.88569117011491,0,false,PASS,F29,baseline,missing_covariance,fallback_MMSE,-5,-155.88569117011491,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P01_T,MMSE,32,0,1,1,0,150.88569117011491,0,false,PASS,F29,treatment,missing_covariance,strict_failure,-5,-155.88569117011491,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P02_B,MMSE,32,0,1,1,0,150.94421086263577,0,false,PASS,F29,baseline,missing_covariance,fallback_MMSE,0,-150.94421086263577,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P02_T,MMSE,32,0,1,1,0,150.94421086263577,0,false,PASS,F29,treatment,missing_covariance,strict_failure,0,-150.94421086263577,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P03_B,MMSE,32,0,1,1,0,151.1968255986242,0,false,PASS,F29,baseline,missing_covariance,fallback_MMSE,5,-146.1968255986242,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P03_T,MMSE,32,0,1,1,0,151.1968255986242,0,false,PASS,F29,treatment,missing_covariance,strict_failure,5,-146.1968255986242,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P04_B,MMSE,32,0,1,1,0,151.10345391417019,0,false,PASS,F29,baseline,missing_covariance,fallback_MMSE,10,-141.10345391417019,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P04_T,MMSE,32,0,1,1,0,151.10345391417019,0,false,PASS,F29,treatment,missing_covariance,strict_failure,10,-141.10345391417019,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P05_B,MMSE,32,0,1,1,0,150.93630031419838,0,false,PASS,F29,baseline,missing_covariance,fallback_MMSE,15,-135.93630031419838,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P05_T,MMSE,32,0,1,1,0,150.93630031419838,0,false,PASS,F29,treatment,missing_covariance,strict_failure,15,-135.93630031419838,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P06_B,MMSE,32,0,1,1,0,150.86069440161739,0,false,PASS,F29,baseline,missing_covariance,fallback_MMSE,20,-130.86069440161739,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F29_P06_T,MMSE,32,0,1,1,0,150.86069440161739,0,false,PASS,F29,treatment,missing_covariance,strict_failure,20,-130.86069440161739,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F30_P01_B,ZF,32,0,1,1,0,-11.549562867476014,1,false,PASS,F30,baseline,receiver,ZF,-5,6.5495628674760145,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F30_P01_T,MMSE,32,0,1,1,0,-10.552540987173874,1,false,PASS,F30,treatment,receiver,MMSE,-5,5.5525409871738738,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
