ComparisonID,KPI,FixedValue,GeometryValue,Difference,Tolerance,Status
UL_AWGN_10_47,PostEqSINR_dB,9.24551642065924,9.24551642065924,0,0,PASS
UL_AWGN_10_89,BER,0,0,0,0,PASS
UL_AWGN_10_89,BLER,0,0,0,0,PASS
UL_AWGN_10_89,PostEqSINR_dB,9.38650814087227,9.38650814087227,0,0,PASS
UL_TDL-C_-5_11,BER,0.3203125,0.3203125,0,0,PASS
UL_TDL-C_-5_11,BLER,1,1,0,0,PASS
UL_TDL-C_-5_11,PostEqSINR_dB,-4.51665288965713,-4.51665288965713,0,0,PASS
UL_TDL-C_-5_23,BER,0.3984375,0.3984375,0,0,PASS
UL_TDL-C_-5_23,BLER,1,1,0,0,PASS
UL_TDL-C_-5_23,PostEqSINR_dB,-5.44107909755792,-5.44107909755792,0,0,PASS
UL_TDL-C_-5_47,BER,0.348958333333333,0.348958333333333,0,0,PASS
UL_TDL-C_-5_47,BLER,1,1,0,0,PASS
UL_TDL-C_-5_47,PostEqSINR_dB,-3.35608481633947,-3.35608481633947,0,0,PASS
UL_TDL-C_-5_89,BER,0.330729166666667,0.330729166666667,0,0,PASS
UL_TDL-C_-5_89,BLER,1,1,0,0,PASS
UL_TDL-C_-5_89,PostEqSINR_dB,-8.28222318445962,-8.28222318445962,0,0,PASS
UL_TDL-C_0_11,BER,0,0,0,0,PASS
UL_TDL-C_0_11,BLER,0,0,0,0,PASS
UL_TDL-C_0_11,PostEqSINR_dB,0.328871633979461,0.328871633979461,0,0,PASS
UL_TDL-C_0_23,BER,0.2421875,0.2421875,0,0,PASS
UL_TDL-C_0_23,BLER,1,1,0,0,PASS
UL_TDL-C_0_23,PostEqSINR_dB,-0.141870695508887,-0.141870695508887,0,0,PASS
UL_TDL-C_0_47,BER,0,0,0,0,PASS
UL_TDL-C_0_47,BLER,0,0,0,0,PASS
UL_TDL-C_0_47,PostEqSINR_dB,1.13684051448372,1.13684051448372,0,0,PASS
UL_TDL-C_0_89,BER,0,0,0,0,PASS
UL_TDL-C_0_89,BLER,0,0,0,0,PASS
UL_TDL-C_0_89,PostEqSINR_dB,-1.42733737486552,-1.42733737486552,0,0,PASS
UL_TDL-C_5_11,BER,0,0,0,0,PASS
UL_TDL-C_5_11,BLER,0,0,0,0,PASS
UL_TDL-C_5_11,PostEqSINR_dB,5.26518437636261,5.26518437636261,0,0,PASS
UL_TDL-C_5_23,BER,0,0,0,0,PASS
UL_TDL-C_5_23,BLER,0,0,0,0,PASS
UL_TDL-C_5_23,PostEqSINR_dB,4.64239461133701,4.64239461133701,0,0,PASS
UL_TDL-C_5_47,BER,0,0,0,0,PASS
UL_TDL-C_5_47,BLER,0,0,0,0,PASS
UL_TDL-C_5_47,PostEqSINR_dB,5.52210543910151,5.52210543910151,0,0,PASS
UL_TDL-C_5_89,BER,0,0,0,0,PASS
UL_TDL-C_5_89,BLER,0,0,0,0,PASS
UL_TDL-C_5_89,PostEqSINR_dB,4.52936958784005,4.52936958784005,0,0,PASS
UL_TDL-C_10_11,BER,0,0,0,0,PASS
UL_TDL-C_10_11,BLER,0,0,0,0,PASS
UL_TDL-C_10_11,PostEqSINR_dB,9.86992101172446,9.86992101172446,0,0,PASS
UL_TDL-C_10_23,BER,0,0,0,0,PASS
UL_TDL-C_10_23,BLER,0,0,0,0,PASS
UL_TDL-C_10_23,PostEqSINR_dB,8.85155829130196,8.85155829130196,0,0,PASS
UL_TDL-C_10_47,BER,0,0,0,0,PASS
UL_TDL-C_10_47,BLER,0,0,0,0,PASS
UL_TDL-C_10_47,PostEqSINR_dB,9.44887132061899,9.44887132061899,0,0,PASS
UL_TDL-C_10_89,BER,0,0,0,0,PASS
UL_TDL-C_10_89,BLER,0,0,0,0,PASS
UL_TDL-C_10_89,PostEqSINR_dB,9.29693981638412,9.29693981638412,0,0,PASS
