relative_path,extension,bytes,sha256,decode_ok,format,width_px,height_px,mode,grayscale_min,grayscale_max,grayscale_stddev,blank_or_constant,issue
analytics/image/contract__export-consistency-truth-analytics__truth-policy-violation-counts.png,.png,34090,8bc17aca81d42904dc7b70a6d8d39454e2290c7edcaa9c407efcf9cabde1f11a,True,PNG,1280,720,RGBA,23,255,50.139730489496472,False,
analytics/image/contract__harq-analytics__harq-combining-gain-distribution.png,.png,36824,b4cea2074a03953e48518a38cfd464be7df305f26df930ecc6cf298f0bb43186,True,PNG,1280,720,RGBA,23,255,60.956375489418512,False,
analytics/image/contract__harq-analytics__harq-process-timeline.png,.png,37903,68fe73e3a3ef45d6441f6faa595f6e0b2eaa0416cfc20bf8df599f2c44668f57,True,PNG,1280,720,RGBA,23,255,23.322467420581713,False,
analytics/image/contract__harq-analytics__harq-rtt-distribution.png,.png,35098,08b1ff8826ce896f19011198c1c580025ddb6e6a7fd8e47bf643ded869d3916d,True,PNG,1280,720,RGBA,23,255,55.067137366721319,False,
analytics/image/contract__harq-analytics__newtx-vs-retx-comparison.png,.png,35340,9eb0bf20a687ef561bcfc12ffb1674e9a56cbf747c116091184bb4aec8c94486,True,PNG,1280,720,RGBA,23,255,60.54770710051902,False,
analytics/image/contract__harq-analytics__residual-failure-patterns.png,.png,33884,0d126fd726afdc3b8d363397a36aa333c176792b11c0af5e67bb00df64981b9e,True,PNG,1280,720,RGBA,23,255,60.503198145796041,False,
analytics/image/contract__harq-analytics__retransmission-count-histogram.png,.png,36709,3db943c7f080f0f84c05b1700f9353aa65c5ba194f748445c559c118dd53f5a8,True,PNG,1280,720,RGBA,23,255,57.647860860770365,False,
analytics/image/contract__harq-analytics__retransmission-rate-trend.png,.png,38381,0a257d4b1e99b95c4c0d2b5a665f504a9b991bbdee495a6f1c663e284fdebaaa,True,PNG,1280,720,RGBA,23,255,24.677612141226,False,
analytics/image/contract__impairments-tracking-analytics__cfo-true-vs-estimated-vs-residual.png,.png,53946,004cf351619561602a46c23c0354fc00630a72fea8eada6c4a48a9c8959dc78e,True,PNG,1280,720,RGBA,23,255,26.525983743822511,False,
analytics/image/contract__impairments-tracking-analytics__timing-offset-true-vs-estimated-vs-residual.png,.png,41324,514cd7258629dc036c3b634bd425bb0156eadab50c4e734abe8342122873fd15,True,PNG,1280,720,RGBA,23,255,50.984662298284775,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__applied-awgn-snr-vs-measured-runtime-sinr-comparison.png,.png,61789,751ee2a83a9e6b2c220c48535f176eab76a777ac3af7547d8f4a9a95909409e4,True,PNG,1280,720,RGBA,23,255,30.899772844073503,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__config-vs-measured-conflict-dashboard.png,.png,40185,868700cdbd71ef3db4393560632033f7a405a3a68f918d4fd8cef4e38b4ca20f,True,PNG,1280,720,RGBA,23,255,25.419894322174773,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__cqi-pmi-ri-cri-ssbri-trends.png,.png,38155,a5323db8ca6132ca31eecb940184cef4b0afe56c0ac500ea4e1f9bfd6f84b85b,True,PNG,1280,720,RGBA,23,255,26.627654989607546,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__cqi-to-mcs-mapping-plot.png,.png,30985,2cfaef5cebfc8e6eefb83f977aaca0d2347a36948cc6beab494178feb05ab366,True,PNG,1280,720,RGBA,23,255,22.918976952651249,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__per-beam-quality-plot.png,.png,35721,d840c87bd7d1e71f92f1999e53513a831c4f2239b4edf107f4db4709f37044b7,True,PNG,1280,720,RGBA,23,255,22.98857204138784,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__per-layer-quality-plot.png,.png,34856,56a075f53469f2eeceffb9b354560554960df5769774925848f77263d6417f5f,True,PNG,1280,720,RGBA,23,255,62.2152802943476,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__quality-vs-selected-mcs-mismatch-plot.png,.png,41709,47ff02d44a9e631c244b368bee0656a3e2fde279d7885694af0fce3878f7cb96,True,PNG,1280,720,RGBA,23,255,26.199028008391998,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__selected-mcs-distribution.png,.png,26910,cd8f0b68f30839acbd8f047bf9a4a8191a4ae5366a5f223c3f3928b5d2b0c2b3,True,PNG,1280,720,RGBA,23,255,49.766000403729237,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__selected-vs-derived-mcs-confusion-matrix.png,.png,24007,c6bba7c21f1bdae09454e6bd9305df457e1f7e9101a8cef619918781e22cec5b,True,PNG,1180,760,RGBA,23,255,33.262360390658529,False,
analytics/image/contract__measurement-csi-link-adaptation-analytics__servingrsrp-rsrp-csi-rsrp-trends.png,.png,48611,46490445be759724c3c6647bbf6c8f69a1a1753ec24ad274cd6aa4fa7db9d291,True,PNG,1280,720,RGBA,23,255,26.778976796584555,False,
