CaseID,BWPID,PRB,Subcarrier,FFTBin,IsDC,Owner,Status
MAP-300-512,BWP-1,12,17,17,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,18,18,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,19,19,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,20,20,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,21,21,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,22,22,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,23,23,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,24,24,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,25,25,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,26,26,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,27,27,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,28,28,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,13,29,29,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,30,30,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,31,31,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,32,32,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,33,33,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,34,34,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,35,35,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,36,36,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,37,37,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,38,38,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,39,39,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,40,40,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,14,41,41,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,42,42,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,43,43,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,44,44,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,45,45,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,46,46,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,47,47,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,48,48,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,49,49,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,50,50,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,51,51,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,52,52,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,15,53,53,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,54,54,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,55,55,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,56,56,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,57,57,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,58,58,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,59,59,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,60,60,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,61,61,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,62,62,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,63,63,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,64,64,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,16,65,65,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,17,66,66,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,17,67,67,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,17,68,68,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,17,69,69,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,17,70,70,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,17,71,71,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,17,72,72,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,17,73,73,0,PDSCH_PORT_0,PASS
MAP-300-512,BWP-1,17,74,74,0,PDSCH_PORT_0,PASS
