Profile,Frequency_Hz,PSD_dB_per_Hz,AnalysisWindow,RBW_Hz,Status
CP-OFDM,-120000,-61.8395378403526,rectangular,7500,PASS
CP-OFDM,-112500,-61.752060613984,rectangular,7500,PASS
CP-OFDM,-105000,-67.2243795367816,rectangular,7500,PASS
CP-OFDM,-97500,-66.9803406953905,rectangular,7500,PASS
CP-OFDM,-90000,-67.9413171761096,rectangular,7500,PASS
CP-OFDM,-82500,-82.6084513481372,rectangular,7500,PASS
CP-OFDM,-75000,-78.0499876742172,rectangular,7500,PASS
CP-OFDM,-67500,-75.2212555597806,rectangular,7500,PASS
CP-OFDM,-60000,-83.3216092023761,rectangular,7500,PASS
CP-OFDM,-52500,-72.9559939535711,rectangular,7500,PASS
CP-OFDM,-45000,-75.7720457393157,rectangular,7500,PASS
CP-OFDM,-37500,-63.338718539313,rectangular,7500,PASS
CP-OFDM,-30000,-61.3189541324323,rectangular,7500,PASS
CP-OFDM,-22500,-73.7807311601678,rectangular,7500,PASS
CP-OFDM,-15000,-66.2073589047578,rectangular,7500,PASS
CP-OFDM,-7500,-65.8541235254877,rectangular,7500,PASS
CP-OFDM,0,-70.3832868024005,rectangular,7500,PASS
CP-OFDM,7500,-69.7681776077826,rectangular,7500,PASS
CP-OFDM,15000,-70.4056385105706,rectangular,7500,PASS
CP-OFDM,22500,-68.3028879389484,rectangular,7500,PASS
CP-OFDM,30000,-70.6962985505994,rectangular,7500,PASS
CP-OFDM,37500,-74.4850832031573,rectangular,7500,PASS
CP-OFDM,45000,-67.2431533397709,rectangular,7500,PASS
CP-OFDM,52500,-70.2493313299497,rectangular,7500,PASS
CP-OFDM,60000,-70.1741815790447,rectangular,7500,PASS
CP-OFDM,67500,-81.4540260909685,rectangular,7500,PASS
CP-OFDM,75000,-65.8308109445196,rectangular,7500,PASS
CP-OFDM,82500,-66.0059296222496,rectangular,7500,PASS
CP-OFDM,90000,-71.1413572535813,rectangular,7500,PASS
CP-OFDM,97500,-72.6966076470193,rectangular,7500,PASS
CP-OFDM,105000,-72.0690303079486,rectangular,7500,PASS
CP-OFDM,112500,-69.4521165312609,rectangular,7500,PASS
CP-OFDM,120000,-72.7610559570085,rectangular,7500,PASS
CP-OFDM,127500,-77.694987799685,rectangular,7500,PASS
CP-OFDM,135000,-74.4229218279042,rectangular,7500,PASS
CP-OFDM,142500,-79.8176882011157,rectangular,7500,PASS
