UEIndex,RNTI,Direction,ConfiguredLayers,ConfiguredTxAntennas,ConfiguredRxAntennas,BeamformingApplied,BeamSelectionStrategy,BeamIndexSet,ExecutionModel,Throughput_Mbps,ObservedRowCount,BLER,BER,PassRate,MeanMeasuredSINR_dB,MeanChannelGain_dB,SummaryRowValid,RuntimeDataPresent,UserHadAnySuccessfulTx,UserHadAnySuccessfulRx,PartialSuccess,AllObservedRowsSuccessful,SummaryStatus,Ok,OkDefinition,NumUsersConfigured
11,11,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.485179575941151,0,24.4662069902494,-137.922752006932,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
17,17,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.353170189098999,0,20.6563402084653,-141.747140120726,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
21,21,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",0,2,1,0.238195110258869,0,21.380896424237,-140.965778773735,1,1,0,0,0,0,"all_failed",1,"compatibility_alias_of_summary_row_valid",50
25,25,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",18.488,2,0,0,1,31.0839279564671,-131.279886415574,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
27,27,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.064,2,0.5,0.21727607096495,0.5,26.3483153930925,-136.014412067618,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
28,28,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",18.488,2,0,0,1,32.8063812275528,-129.564156345635,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
30,30,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",18.488,2,0,0,1,42.8242092014055,-119.492787839261,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
31,31,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",18.488,2,0,0,1,46.5243606014513,-115.852376417048,1,1,1,1,0,1,"all_success",1,"compatibility_alias_of_summary_row_valid",50
36,36,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.064,2,0.5,0.178656425789701,0.5,27.005436557821,-135.323384932696,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
39,39,"UL",1,64,4,1,"runtime_best_beam_per_link","1|2","slot_coupled_truth",1.064,2,0.5,0.0920467185761958,0.5,19.5587669990546,-142.774591784961,1,1,1,1,1,0,"partial_success",1,"compatibility_alias_of_summary_row_valid",50
