Direction,SNR_dB,Frame,Slot,UEIndex,RNTI,TrialOrdinal,AbsoluteSlot,SelectedBeamIndex,BestBeamIndex,BeamHit,TopKBeamHit,BeamCandidateCount,BeamGainGap_dB,BeamSelectionStrategy,ExecutionModel,Status,EventType,AcquisitionEventFlag,SwitchEventFlag,FirstHitEventFlag,BeamDetectedEventFlag,MisalignmentEventFlag,FailureEventFlag,SwitchLatencySlots,SwitchLatency_s,TrialsToFirstHit,StateBefore,StateAfter
"DL",12,8,8,34,34,2,168,2,11,0,0,32,0.476947989282223,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,9,9,34,34,3,189,2,4,0,0,32,0.0609551273838633,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"misaligned","misaligned"
"DL",12,7,7,35,35,1,147,1,32,0,1,32,0.00253946232049884,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,2,"uninitialized","misaligned"
"DL",12,8,8,35,35,2,168,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_REFINEMENT_CONVERGED",0,1,1,0,0,0,21,0.0105,2,"misaligned","aligned"
"DL",12,9,9,35,35,3,189,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_TRACK",0,0,0,0,0,0,NaN,NaN,2,"aligned","aligned"
"DL",12,7,7,36,36,1,147,1,28,0,0,32,0.346664127259984,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,3,"uninitialized","misaligned"
"DL",12,8,8,36,36,2,168,2,3,0,1,32,0.0163300613961468,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED",0,1,0,0,1,0,21,0.0105,3,"misaligned","misaligned"
"DL",12,9,9,36,36,3,189,2,2,1,1,32,0,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_REFINEMENT_CONVERGED",0,0,1,0,0,0,NaN,NaN,3,"misaligned","aligned"
"DL",12,7,7,37,37,1,147,1,27,0,0,32,0.533777948447877,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_ACQUIRED|BEAM_DETECTED|BEAM_MISALIGNED",1,0,0,1,1,0,NaN,NaN,NaN,"uninitialized","misaligned"
"DL",12,8,8,37,37,2,168,2,13,0,0,32,4.28939090418791,"runtime_best_beam_per_link","slot_coupled_truth","PASS","BEAM_SWITCH|BEAM_MISALIGNED|BEAM_FAILURE",0,1,0,0,1,1,21,0.0105,NaN,"misaligned","failed_alignment"
"DL",12,9,9,37,37,3,189,2,3,0,1,32,0.0405333722866033,"runtime_best_beam_per_link","slot_coupled_truth","FAIL","BEAM_MISALIGNED",0,0,0,0,1,0,NaN,NaN,NaN,"failed_alignment","misaligned"
