Occasion,AbsoluteSlot0,StartSample,EndSampleExclusive,IQFirstRow,IQRowCount,ReceiveBranches,HARQBits,SignalPresent,Detected,FalseACKBits,DetectionMetric,DetectionThreshold,DetectionThresholdSource,NoiseStreamSeed,InjectedSampleNoiseVariance,ConfiguredReferenceEsN0_dB,RFAppliedStageCount,TimingSource,Source,IQSHA256
29,144,1105920,1113600,215041,7680,2,2,0,0,0,0.29415835098299,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
30,149,1144320,1152000,222721,7680,2,1,0,0,0,0.264602452029373,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
30,149,1144320,1152000,222721,7680,2,2,0,0,0,0.316985651934812,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
31,154,1182720,1190400,230401,7680,2,1,0,0,0,0.264421860016993,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
31,154,1182720,1190400,230401,7680,2,2,0,0,0,0.289276498697701,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
32,159,1221120,1228800,238081,7680,2,1,0,0,0,0.302020757866747,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
32,159,1221120,1228800,238081,7680,2,2,0,0,0,0.302020757866747,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
33,164,1259520,1267200,245761,7680,2,1,0,0,0,0.224298774736348,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
33,164,1259520,1267200,245761,7680,2,2,0,0,0,0.343590679081198,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
34,169,1297920,1305600,253441,7680,2,1,0,0,0,0.278297126917796,0.42,yaml.pucch.detection_threshold_format0_two_symbols,2922366659,0.000123233856343788,12,1,prescribed_slot_window_not_acquired_sync,receiver_noise_rf_component_not_complete_access_or_conformance,09b4484532064268154e0669c5e348ec2917aab753573284258dbdc139d74d9d
