route,page,kind,section_slug,artifact
/reports/air-interface-frame-slot-symbol-grid/charts/frame-slot-symbol-occupancy-timeline,reports,reports,air-interface-frame-slot-symbol-grid,frame/slot/symbol occupancy timeline
/reports/air-interface-frame-slot-symbol-grid/charts/prb-heatmap,reports,reports,air-interface-frame-slot-symbol-grid,PRB heatmap
/reports/air-interface-frame-slot-symbol-grid/charts/re-occupancy-heatmap,reports,reports,air-interface-frame-slot-symbol-grid,RE occupancy heatmap
/reports/air-interface-frame-slot-symbol-grid/charts/dl-ul-guard-slot-pattern-chart,reports,reports,air-interface-frame-slot-symbol-grid,DL/UL/guard slot pattern chart
/reports/air-interface-frame-slot-symbol-grid/charts/ssb-occasion-timeline,reports,reports,air-interface-frame-slot-symbol-grid,SSB occasion timeline
/reports/air-interface-frame-slot-symbol-grid/charts/prach-occasion-timeline,reports,reports,air-interface-frame-slot-symbol-grid,PRACH occasion timeline
/reports/air-interface-frame-slot-symbol-grid/charts/coreset-search-space-occupancy-chart,reports,reports,air-interface-frame-slot-symbol-grid,CORESET/search-space occupancy chart
/reports/scheduler-mac-queue-qos-power-control-uci-flow/charts/scheduled-prbs-per-ue-over-time,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,scheduled PRBs per UE over time
/reports/scheduler-mac-queue-qos-power-control-uci-flow/charts/mcs-over-time,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,MCS over time
/reports/scheduler-mac-queue-qos-power-control-uci-flow/charts/cqi-vs-selected-mcs,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,CQI vs selected MCS
/reports/scheduler-mac-queue-qos-power-control-uci-flow/charts/queue-depth-over-time,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,queue depth over time
/reports/scheduler-mac-queue-qos-power-control-uci-flow/charts/hol-delay-over-time,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,HOL delay over time
/reports/scheduler-mac-queue-qos-power-control-uci-flow/charts/scheduler-fairness-over-time,reports,reports,scheduler-mac-queue-qos-power-control-uci-flow,scheduler fairness over time
