CaseID,TestKind,Rank,Modulation,ChannelModel,ProductionTXExecuted,ProductionRXExecuted,ExpectedStatus,ActualStatus,ErrorIdentifier,Status,ExecutionBackend,ChannelEstimateScope,ReceiverCRCPass,EvidenceDetail
COV-010,reserved_re,5,64QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_reserved_tx_channel_rx_execution
COV-010,impairment,5,64QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_phase_noise_tx_channel_rx_execution
COV-011,positive,6,16QAM,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_tx_channel_rx_execution
COV-011,no_signal,6,16QAM,CDL-C,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-011,wrong_rnti,6,16QAM,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-011,wrong_dmrs,6,16QAM,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-011,wrong_rv,6,16QAM,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-011,reserved_re,6,16QAM,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_reserved_tx_channel_rx_execution
COV-011,impairment,6,16QAM,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_phase_noise_tx_channel_rx_execution
COV-012,positive,6,256QAM,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_tx_channel_rx_execution
COV-012,no_signal,6,256QAM,CDL-C,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-012,wrong_rnti,6,256QAM,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-012,wrong_dmrs,6,256QAM,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-012,wrong_rv,6,256QAM,CDL-C,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-012,reserved_re,6,256QAM,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_reserved_tx_channel_rx_execution
COV-012,impairment,6,256QAM,CDL-C,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_phase_noise_tx_channel_rx_execution
COV-013,positive,7,64QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,exact_explicit_awgn_tx_rx_round_trip
COV-013,no_signal,7,64QAM,AWGN,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-013,wrong_rnti,7,64QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-013,wrong_dmrs,7,64QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-013,wrong_rv,7,64QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-013,reserved_re,7,64QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,legal_rate_match_reservation_applied_before_coding
COV-013,impairment,7,64QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,deterministic_phase_ramp_plus_awgn_receiver_execution
COV-014,positive,7,1024QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,exact_explicit_awgn_tx_rx_round_trip
COV-014,no_signal,7,1024QAM,AWGN,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-014,wrong_rnti,7,1024QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-014,wrong_dmrs,7,1024QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-014,wrong_rv,7,1024QAM,AWGN,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-014,reserved_re,7,1024QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,legal_rate_match_reservation_applied_before_coding
COV-014,impairment,7,1024QAM,AWGN,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,explicit_awgn_receiver_contract,1,deterministic_phase_ramp_plus_awgn_receiver_execution
COV-015,positive,8,256QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_tx_channel_rx_execution
COV-015,no_signal,8,256QAM,TDL-A,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-015,wrong_rnti,8,256QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-015,wrong_dmrs,8,256QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-015,wrong_rv,8,256QAM,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-015,reserved_re,8,256QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_reserved_tx_channel_rx_execution
COV-015,impairment,8,256QAM,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_phase_noise_tx_channel_rx_execution
COV-016,positive,8,QPSK,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_tx_channel_rx_execution
COV-016,no_signal,8,QPSK,TDL-A,0,1,PASS,PASS,sixgr:pdsch:PDSCHReceiver:NoReceivedSignal,PASS,canonical_receiver_input_validation,receiver_input_validation_before_ofdm,0,typed_all_zero_receiver_rejection
COV-016,wrong_rnti,8,QPSK,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DCIRNTIMismatch,PASS,canonical_assignment_validation,pre_tx_validation_only,0,typed_dci_rnti_rejection_before_tx
COV-016,wrong_dmrs,8,QPSK,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DMRSPortUnsupportedForConfiguration,PASS,canonical_dmrs_configuration_validation,pre_tx_validation_only,0,typed_invalid_dmrs_rejection_before_tx
COV-016,wrong_rv,8,QPSK,TDL-A,0,0,PASS,PASS,sixgr:pdsch:DLSCHCodingPlan:BadInteger,PASS,canonical_dlsch_coding_plan_validation,pre_tx_validation_only,0,typed_invalid_rv_rejection_before_tx
COV-016,reserved_re,8,QPSK,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_reserved_tx_channel_rx_execution
COV-016,impairment,8,QPSK,TDL-A,1,1,PASS,PASS,,PASS,canonical_pdsch_tx_channel_rx,dmrs_backed_resource_selective_effective_layer_channel,1,single_canonical_fading_phase_noise_tx_channel_rx_execution
