CaseID,TimeDensity,FrequencyDensity,REOffset,PTRSPortSet,AssociatedDMRSPort,PTRSRECount,ExpectedPresent,PresenceReason,CPEBeforeDeg,CPEAfterDeg,EVMBeforePercent,EVMAfterPercent,Status,PlotCoordinates0Based
PTRS-035,2,2,10,0,0,36,1,PTRSPresent,4.7473220694767555,2.6553021077608045e-15,9.4063720415814185,1.3336241051000553e-14,PASS,6:2|30:2|54:2|78:2|102:2|126:2|150:2|174:2|198:2|222:2|246:2|270:2|6:4|30:4|54:4|78:4|102:4|126:4|150:4|174:4|198:4|222:4|246:4|270:4|6:6|30:6|54:6|78:6|102:6|126:6|150:6|174:6|198:6|222:6|246:6|270:6
PTRS-036,2,2,11,0,0,36,1,PTRSPresent,2.2652335153214587,3.8019976771579458e-15,4.8627988368997945,1.4440315772527044e-14,PASS,8:2|32:2|56:2|80:2|104:2|128:2|152:2|176:2|200:2|224:2|248:2|272:2|8:4|32:4|56:4|80:4|104:4|128:4|152:4|176:4|200:4|224:4|248:4|272:4|8:6|32:6|56:6|80:6|104:6|128:6|152:6|176:6|200:6|224:6|248:6|272:6
PTRS-037,2,4,00,0,0,18,1,PTRSPresent,1.4368809288020148,3.5828704275168044e-15,3.0587626263406102,1.3174462339256089e-14,PASS,0:2|48:2|96:2|144:2|192:2|240:2|0:4|48:4|96:4|144:4|192:4|240:4|0:6|48:6|96:6|144:6|192:6|240:6
PTRS-038,2,4,01,0,0,18,1,PTRSPresent,7.5988386995558814,3.2756560756918507e-15,13.57638069247932,1.352201133092971e-14,PASS,2:2|50:2|98:2|146:2|194:2|242:2|2:4|50:4|98:4|146:4|194:4|242:4|2:6|50:6|98:6|146:6|194:6|242:6
PTRS-039,2,4,10,0,0,18,1,PTRSPresent,7.5988386995558814,3.2756560756918507e-15,13.57638069247932,1.352201133092971e-14,PASS,6:2|54:2|102:2|150:2|198:2|246:2|6:4|54:4|102:4|150:4|198:4|246:4|6:6|54:6|102:6|150:6|198:6|246:6
PTRS-040,2,4,11,0,0,18,1,PTRSPresent,5.9149556826985963,1.177054232685111e-15,12.777646244540295,1.4757017020879159e-14,PASS,8:2|56:2|104:2|152:2|200:2|248:2|8:4|56:4|104:4|152:4|200:4|248:4|8:6|56:6|104:6|152:6|200:6|248:6
PTRS-041,4,2,00,0,0,12,1,PTRSPresent,4.702526303552176,3.1149938977382078e-15,8.2051532700904772,1.4118674848078068e-14,PASS,0:4|24:4|48:4|72:4|96:4|120:4|144:4|168:4|192:4|216:4|240:4|264:4
PTRS-042,4,2,01,0,0,12,1,PTRSPresent,3.9832408137567001,1.1257117194252304e-15,6.9506667864572993,1.0570442988202421e-14,PASS,2:4|26:4|50:4|74:4|98:4|122:4|146:4|170:4|194:4|218:4|242:4|266:4
PTRS-043,4,2,10,0,0,12,1,PTRSPresent,3.9832408137567001,1.1257117194252304e-15,6.9506667864572993,1.0570442988202421e-14,PASS,6:4|30:4|54:4|78:4|102:4|126:4|150:4|174:4|198:4|222:4|246:4|270:4
PTRS-044,4,2,11,0,0,12,1,PTRSPresent,7.6588406672331759,4.3438302571947004e-15,13.357248884670764,1.2123457701215823e-14,PASS,8:4|32:4|56:4|80:4|104:4|128:4|152:4|176:4|200:4|224:4|248:4|272:4
PTRS-045,4,4,00,0,0,6,1,PTRSPresent,4.6316971757950762,1.0776936420676491e-17,8.081635639186926,9.9692468061464782e-15,PASS,0:4|48:4|96:4|144:4|192:4|240:4
PTRS-046,4,4,01,0,0,6,1,PTRSPresent,1.0567033115367013,2.2308258390800335e-15,1.8442690619512216,1.1961400342585656e-14,PASS,2:4|50:4|98:4|146:4|194:4|242:4
PTRS-047,4,4,10,0,0,6,1,PTRSPresent,1.0567033115367013,2.2308258390800335e-15,1.8442690619512216,1.1961400342585656e-14,PASS,6:4|54:4|102:4|150:4|198:4|246:4
PTRS-048,4,4,11,0,0,6,1,PTRSPresent,5.9779032853965202,1.4802891954972064e-15,10.428677865274382,1.3014305897825755e-14,PASS,8:4|56:4|104:4|152:4|200:4|248:4
PTRS-052,2,2,00,0,0,0,0,PTRSNotPresentForTwoSymbolAllocation,1.6222994898267531,1.6222994898267531,3.5379570645955671,3.5379570645955671,PASS,
PTRS-053,1,2,00,0,0,0,0,PTRSNotPresentBelowBandwidthThreshold,1.8503471260361006,1.8503471260361006,4.2657130147882096,4.2657130147882096,PASS,
PTRS-054,1,2,00,0,0,0,0,PTRSNotPresentForRNTIType,1.8503471260361006,1.8503471260361006,4.2021174058828761,4.2021174058828761,PASS,
PTRS-055,1,2,00,0,0,0,0,PTRSNotPresentForRNTIType,1.8503471260361006,1.8503471260361006,4.2021174058828761,4.2021174058828761,PASS,
PTRS-056,1,2,00,0,0,0,0,PTRSNotPresentForRNTIType,1.8503471260361006,1.8503471260361006,4.2021174058828761,4.2021174058828761,PASS,
