CaseID,Domain,Codeword,Layer,Port,PRB,Symbol,Subcarrier,LinearIndex0Based,Status
MAP-EXPLICIT-001,DMRS,0,0,0,0,5,4,64,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,5,6,66,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,5,8,68,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,5,10,70,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,8,0,96,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,8,2,98,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,8,4,100,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,8,6,102,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,8,8,104,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,8,10,106,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,11,0,132,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,11,2,134,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,11,4,136,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,11,6,138,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,11,8,140,PASS
MAP-EXPLICIT-001,DMRS,0,0,0,0,11,10,142,PASS
MAP-EXPLICIT-001,PTRS,0,0,0,0,0,0,0,PASS
MAP-EXPLICIT-001,PTRS,0,0,0,0,4,0,48,PASS
MAP-EXPLICIT-001,PTRS,0,0,0,0,7,0,84,PASS
MAP-EXPLICIT-001,PTRS,0,0,0,0,10,0,120,PASS
MAP-EXPLICIT-001,PTRS,0,0,0,0,13,0,156,PASS
MAP-EXPLICIT-001,RESERVED,-1,-1,-1,0,0,1,1,PASS
MAP-EXPLICIT-001,RESERVED,-1,-1,-1,0,0,2,2,PASS
MAP-EXPLICIT-001,RESERVED,-1,-1,-1,0,0,3,3,PASS
MAP-EXPLICIT-001,RESERVED,-1,-1,-1,0,0,4,4,PASS
MAP-EXPLICIT-001,RESERVED,-1,-1,-1,0,0,5,5,PASS
MAP-EXPLICIT-001,RESERVED,-1,-1,-1,0,0,6,6,PASS
