TestID,CellID,CCID,BWPID,Frame,Slot,Symbol,CommonDirection,DedicatedDirection,ResolvedDirection,ResolutionSource,AllocationOwner,Status,IndexConvention
TDD-002,0,0,0,0,6,5,F,F,UNRESOLVED_FLEX,dedicated_flexible,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,6,6,F,F,UNRESOLVED_FLEX,dedicated_flexible,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,6,7,F,F,UNRESOLVED_FLEX,dedicated_flexible,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,6,8,F,F,UNRESOLVED_FLEX,dedicated_flexible,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,6,9,F,F,UNRESOLVED_FLEX,dedicated_flexible,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,6,10,F,F,UNRESOLVED_FLEX,dedicated_flexible,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,6,11,F,U,U,dedicated,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,6,12,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,6,13,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,0,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,1,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,2,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,3,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,4,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,5,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,6,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,7,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,8,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,9,U,,U,common,,PASS,zero_based_phy_indices
TDD-002,0,0,0,0,7,10,U,,U,common,,PASS,zero_based_phy_indices
