TestID,Role,FrequencyRange,CenterFrequency_Hz,ChannelBandwidth_MHz,CarrierSCS_kHz,ExpectedValid,ResolvedValid,ExpectedNRB,ResolvedNRB,NStartGrid,OccupiedBandwidth_Hz,GuardbandLow_Hz,GuardbandHigh_Hz,ChannelLowEdge_Hz,ChannelHighEdge_Hz,TransmissionLowEdge_Hz,TransmissionHighEdge_Hz,ActiveBWPStartRB,ActiveBWPSizeRB,ActiveBWPLowEdge_Hz,ActiveBWPHighEdge_Hz,ErrorID,Status,IndexConvention
GRID-FR22-120-0800,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,800,120,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedBandwidthSCSCombination,PASS,zero_based_phy_indices
GRID-FR22-120-1600,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,1600,120,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedBandwidthSCSCombination,PASS,zero_based_phy_indices
GRID-FR22-120-2000,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,2000,120,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedBandwidthSCSCombination,PASS,zero_based_phy_indices
GRID-FR22-480-0100,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,100,480,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedBandwidthSCSCombination,PASS,zero_based_phy_indices
GRID-FR22-480-0400,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,400,480,TRUE,TRUE,66,66,0,380160000,9680000,9680000,59800000000,60200000000,59809920000,60190080000,16,33,59902080000,60092160000,,PASS,zero_based_phy_indices
GRID-FR22-480-0800,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,800,480,TRUE,TRUE,124,124,0,714240000,42640000,42640000,59600000000,60400000000,59642880000,60357120000,31,62,59821440000,60178560000,,PASS,zero_based_phy_indices
GRID-FR22-480-1600,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,1600,480,TRUE,TRUE,248,248,0,1428480000,85520000,85520000,59200000000,60800000000,59285760000,60714240000,62,124,59642880000,60357120000,,PASS,zero_based_phy_indices
GRID-FR22-480-2000,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,2000,480,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedBandwidthSCSCombination,PASS,zero_based_phy_indices
GRID-FR22-960-0100,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,100,960,FALSE,FALSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,sixgr:phy:frame:UnsupportedBandwidthSCSCombination,PASS,zero_based_phy_indices
GRID-FR22-960-0400,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,400,960,TRUE,TRUE,33,33,0,380160000,9440000,9440000,59800000000,60200000000,59809920000,60190080000,8,16,59902080000,60086400000,,PASS,zero_based_phy_indices
GRID-FR22-960-0800,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,800,960,TRUE,TRUE,62,62,0,714240000,42400000,42400000,59600000000,60400000000,59642880000,60357120000,15,31,59815680000,60172800000,,PASS,zero_based_phy_indices
GRID-FR22-960-1600,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,1600,960,TRUE,TRUE,124,124,0,1428480000,85280000,85280000,59200000000,60800000000,59285760000,60714240000,31,62,59642880000,60357120000,,PASS,zero_based_phy_indices
GRID-FR22-960-2000,gNB_carrier_transmission_bandwidth,FR2-2,60000000000,2000,960,TRUE,TRUE,148,148,0,1704960000,147040000,147040000,59000000000,61000000000,59147520000,60852480000,37,74,59573760000,60426240000,,PASS,zero_based_phy_indices
