RunID,CaseID,SchedulingRequestID,AbsoluteSlot,IsOccasion,PendingPositiveSR,Transmitted,ResourceID,Mismatch,Status
PUCCH_PHASE05_R18,SR-0066,3,15,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0067,4,18,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0068,1,18,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0069,2,21,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0070,3,21,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0071,4,24,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0072,1,24,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0073,2,0,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0074,3,0,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0075,4,3,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0076,1,3,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0077,2,6,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0078,3,6,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0079,4,9,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0080,1,9,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0081,2,12,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0082,3,12,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0083,4,15,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0084,1,15,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0085,2,18,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0086,3,18,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0087,4,21,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0088,1,21,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0089,2,24,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0090,3,24,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0091,4,0,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0092,1,0,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0093,2,3,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0094,3,3,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0095,4,6,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0096,1,6,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0097,2,9,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0098,3,9,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0099,4,12,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0100,1,12,false,true,false,1,false,PASS
