RunID,ExperimentID,OperatingPointID,G,GULSCH,GACK,GCSI1,GCSI2,GCGUCI,GUTOUCI,UCIOverheadFraction,EffectiveULSCHCodeRate,ACKBLER,CSI1BLER,CSI2BLER,ULSCHBLER,Goodput_bps,Status
pusch_impact_20260726T140352Z,F10-E012,cg_type2_R4_dynamic_overlap,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F11-E001,msg3_PL80,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F11-E002,msg3_PL100,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F11-E003,msg3_PL120,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F11-E004,msg3_PL135,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F11-E005,msg3_PL145,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F11-E006,msga_PL80,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F11-E007,msga_PL100,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F11-E008,msga_PL120,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F11-E009,msga_PL135,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F11-E010,msga_PL145,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E001,pi/2-BPSK_R1,1248,1248,0,0,0,0,0,0,0.3,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E002,QPSK_R1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E003,QPSK_R2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E004,QPSK_R4,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E005,QPSK_R8,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E006,16QAM_R1,3072,3072,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E007,16QAM_R2,3072,3072,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E008,16QAM_R4,3072,3072,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E009,16QAM_R8,3072,3072,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E010,64QAM_R1,4608,4608,0,0,0,0,0,0,0.6,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E011,64QAM_R2,4608,4608,0,0,0,0,0,0,0.6,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E012,64QAM_R4,4608,4608,0,0,0,0,0,0,0.6,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E013,64QAM_R8,4608,4608,0,0,0,0,0,0,0.6,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E014,256QAM_R1,6144,6144,0,0,0,0,0,0,0.7,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E015,256QAM_R2,6144,6144,0,0,0,0,0,0,0.7,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E016,256QAM_R4,6144,6144,0,0,0,0,0,0,0.7,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F12-E017,256QAM_R8,6144,6144,0,0,0,0,0,0,0.7,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F13-E001,R1,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F13-E002,R2,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F13-E003,R3,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F13-E004,R4,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F13-E005,R5,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F13-E006,R6,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F13-E007,R7,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F13-E008,R8,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F14-E001,R1_C0.0,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F14-E002,R2_C0.0,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F14-E003,R4_C0.0,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F14-E004,R8_C0.0,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F14-E005,R1_C0.3,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F14-E006,R2_C0.3,4608,4608,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
