RunID,ExperimentID,OperatingPointID,PowerControlMode,Pathloss_dB,EstimatedPathloss_dB,P0Nominal_dBm,Alpha,TPCState_dB,RequestedPower_dBm,PCMAX_dBm,AppliedPower_dBm,MeasuredWaveformPower_dBm,PowerError_dB,ReceivedPower_dBm,Clipped,BLER,Goodput_bps,Status
pusch_impact_20260726T140352Z,F11-E006,msga_PL80,ra_power_ramping,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F11-E007,msga_PL100,ra_power_ramping,100,100,-96,1.0,0,24.1703,23,23,23,1.4211e-14,-77,true,1,0,PASS
pusch_impact_20260726T140352Z,F11-E008,msga_PL120,ra_power_ramping,120,120,-96,1.0,0,44.1703,23,23,23,1.4211e-14,-97,true,1,0,PASS
pusch_impact_20260726T140352Z,F11-E009,msga_PL135,ra_power_ramping,135,135,-96,1.0,0,59.1703,23,23,23,1.4211e-14,-112,true,1,0,PASS
pusch_impact_20260726T140352Z,F11-E010,msga_PL145,ra_power_ramping,145,145,-96,1.0,0,69.1703,23,23,23,1.4211e-14,-122,true,1,0,PASS
pusch_impact_20260726T140352Z,F12-E001,pi/2-BPSK_R1,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.7764e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E002,QPSK_R1,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E003,QPSK_R2,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E004,QPSK_R4,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E005,QPSK_R8,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.5987e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E006,16QAM_R1,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,3.5527e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E007,16QAM_R2,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,2.0428e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E008,16QAM_R4,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.6875e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E009,16QAM_R8,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,2.4869e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E010,64QAM_R1,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,7.1054e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E011,64QAM_R2,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,6.2172e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E012,64QAM_R4,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,2.6645e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E013,64QAM_R8,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.6875e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E014,256QAM_R1,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.7764e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E015,256QAM_R2,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,6.2172e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E016,256QAM_R4,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,5.3291e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F12-E017,256QAM_R8,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,2.6645e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F13-E001,R1,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,7.9936e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F13-E002,R2,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.1546e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F13-E003,R3,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,3.5527e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F13-E004,R4,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.7764e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F13-E005,R5,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,9.77e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F13-E006,R6,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,2.1316e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F13-E007,R7,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,7.9936e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F13-E008,R8,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,4.4409e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F14-E001,R1_C0.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,3.5527e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F14-E002,R2_C0.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.6875e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F14-E003,R4_C0.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,7.1054e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F14-E004,R8_C0.0,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,2.6645e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F14-E005,R1_C0.3,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,1.4211e-14,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F14-E006,R2_C0.3,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,7.1054e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F14-E007,R4_C0.3,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,6.2172e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F14-E008,R8_C0.3,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,7.1054e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F14-E009,R1_C0.7,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,3.5527e-15,-75.8297,false,1,0,PASS
pusch_impact_20260726T140352Z,F14-E010,R2_C0.7,fixed_calibration,80,80,-96,1.0,0,4.1703,23,4.1703,4.1703,4.2633e-14,-75.8297,false,1,0,PASS
