relative_path,artifact_role,canonical_source,row_count,column_count,all_zero_finite_column_count,all_missing_column_count,mixed_finite_missing_column_count,semantic_check_count,required_semantic_failure_count,mirror_hash_verified,audit_disposition
mobility/csv/trajectory_constraint_conflicts.csv,canonical_or_derived_artifact,mobility/csv/trajectory_constraint_conflicts.csv,0,5,0,0,0,4,0,False,PASS_CONTRACTED_ZERO_EVENT_NO_OBSERVATIONS
mobility/csv/trajectory_resolution.csv,canonical_or_derived_artifact,mobility/csv/trajectory_resolution.csv,1,7,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
mobility/csv/trajectory_segment_table.csv,canonical_or_derived_artifact,mobility/csv/trajectory_segment_table.csv,1,16,1,0,0,1,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/live_application_packet_delivery_ledger.csv,canonical_or_derived_artifact,packet_flow/csv/live_application_packet_delivery_ledger.csv,116,32,6,0,2,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/live_dl_scheduler_grants.csv,canonical_or_derived_artifact,packet_flow/csv/live_dl_scheduler_grants.csv,12,135,10,0,14,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/live_packet_sdu_delivery_ledger.csv,canonical_or_derived_artifact,packet_flow/csv/live_packet_sdu_delivery_ledger.csv,69,38,6,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/live_prb_allocation.csv,canonical_or_derived_artifact,packet_flow/csv/live_prb_allocation.csv,17,39,1,10,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/live_pucch_grants.csv,canonical_or_derived_artifact,packet_flow/csv/live_pucch_grants.csv,17,110,17,0,12,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/live_scheduler_decision_log.csv,canonical_or_derived_artifact,packet_flow/csv/live_scheduler_decision_log.csv,23,63,5,0,15,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/live_ul_scheduler_grants.csv,canonical_or_derived_artifact,packet_flow/csv/live_ul_scheduler_grants.csv,5,124,15,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/scheduler_decision_log.csv,canonical_or_derived_artifact,packet_flow/csv/scheduler_decision_log.csv,23,63,5,0,15,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/scheduler_resource_exclusions.csv,canonical_or_derived_artifact,packet_flow/csv/scheduler_resource_exclusions.csv,6,16,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/scheduler_ue_summary.csv,canonical_or_derived_artifact,packet_flow/csv/scheduler_ue_summary.csv,2,15,1,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/slot_trace.csv,canonical_or_derived_artifact,packet_flow/csv/slot_trace.csv,58,62,3,1,2,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
packet_flow/csv/table_scheduler_decision.csv,canonical_or_derived_artifact,packet_flow/csv/table_scheduler_decision.csv,17,46,5,10,1,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
raw/evidence/raw_evidence_index.csv,raw_runtime_or_lineage,raw/evidence/raw_evidence_index.csv,17,19,2,0,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_csifeedbackreports.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_csifeedbackreports.csv,10,114,6,17,29,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_csirs.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_csirs.csv,5,215,12,39,1,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_dl.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_dl.csv,12,1089,125,275,33,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_dlconstellation.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_dlconstellation.csv,40020,81,1,0,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_initialaccesslifecycletracetable.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_initialaccesslifecycletracetable.csv,8,40,2,3,5,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_multiuserdl.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_multiuserdl.csv,1,34,3,0,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_multiuserul.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_multiuserul.csv,1,34,3,0,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_pbch.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_pbch.csv,12,1073,144,448,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_pdcch.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_pdcch.csv,17,1076,151,438,1,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_prach.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_prach.csv,1,1061,145,392,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_prachcorrelationtrace.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_prachcorrelationtrace.csv,1,26,3,6,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_pucch.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_pucch.csv,4,234,27,13,0,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
raw/evidence/tables/rawtrials_referencesignalmeasurements.csv,raw_runtime_or_lineage,raw/evidence/tables/rawtrials_referencesignalmeasurements.csv,38,54,0,3,23,1,0,False,PASS_MANIFEST_INTEGRITY_SEMANTICS
