ExperimentID,FamilyID,PairID,Arm,Seed,TrialIndex,Metric,Value,Status
F26-P05-B,F26,F26-P05,BASELINE,131,5,spectral_power_error_db,9.64327466553287e-16,PASS
F26-P05-T,F26,F26-P05,TREATMENT,131,5,spectral_power_error_db,-4.82163733276644e-16,PASS
F26-P06-B,F26,F26-P06,BASELINE,197,6,spectral_power_error_db,-4.82163733276644e-16,PASS
F26-P06-T,F26,F26-P06,TREATMENT,197,6,spectral_power_error_db,0,PASS
F27-P01-B,F27,F27-P01,BASELINE,11,1,spectral_power_error_db,-3.85730986621315e-15,PASS
F27-P01-T,F27,F27-P01,TREATMENT,11,1,spectral_power_error_db,-3.85730986621315e-15,PASS
F27-P02-B,F27,F27-P02,BASELINE,23,2,spectral_power_error_db,-1.44649119982993e-15,PASS
F27-P02-T,F27,F27-P02,TREATMENT,23,2,spectral_power_error_db,-1.44649119982993e-15,PASS
F27-P03-B,F27,F27-P03,BASELINE,47,3,spectral_power_error_db,-3.37514613293651e-15,PASS
F27-P03-T,F27,F27-P03,TREATMENT,47,3,spectral_power_error_db,-3.37514613293651e-15,PASS
F27-P04-B,F27,F27-P04,BASELINE,89,4,spectral_power_error_db,-3.37514613293651e-15,PASS
F27-P04-T,F27,F27-P04,TREATMENT,89,4,spectral_power_error_db,-3.37514613293651e-15,PASS
F27-P05-B,F27,F27-P05,BASELINE,131,5,spectral_power_error_db,9.64327466553287e-16,PASS
F27-P05-T,F27,F27-P05,TREATMENT,131,5,spectral_power_error_db,9.64327466553287e-16,PASS
F27-P06-B,F27,F27-P06,BASELINE,197,6,spectral_power_error_db,-4.82163733276644e-16,PASS
F27-P06-T,F27,F27-P06,TREATMENT,197,6,spectral_power_error_db,-4.82163733276644e-16,PASS
F28-P01-B,F28,F28-P01,BASELINE,11,1,spectral_power_error_db,-3.85730986621315e-15,PASS
F28-P01-T,F28,F28-P01,TREATMENT,11,1,spectral_power_error_db,-3.85730986621315e-15,PASS
F28-P02-B,F28,F28-P02,BASELINE,23,2,spectral_power_error_db,-1.44649119982993e-15,PASS
F28-P02-T,F28,F28-P02,TREATMENT,23,2,spectral_power_error_db,-1.44649119982993e-15,PASS
F28-P03-B,F28,F28-P03,BASELINE,47,3,spectral_power_error_db,-3.37514613293651e-15,PASS
F28-P03-T,F28,F28-P03,TREATMENT,47,3,spectral_power_error_db,-3.37514613293651e-15,PASS
F28-P04-B,F28,F28-P04,BASELINE,89,4,spectral_power_error_db,-3.37514613293651e-15,PASS
F28-P04-T,F28,F28-P04,TREATMENT,89,4,spectral_power_error_db,-3.37514613293651e-15,PASS
F28-P05-B,F28,F28-P05,BASELINE,131,5,spectral_power_error_db,9.64327466553287e-16,PASS
F28-P05-T,F28,F28-P05,TREATMENT,131,5,spectral_power_error_db,9.64327466553287e-16,PASS
F28-P06-B,F28,F28-P06,BASELINE,197,6,spectral_power_error_db,-4.82163733276644e-16,PASS
F28-P06-T,F28,F28-P06,TREATMENT,197,6,spectral_power_error_db,-4.82163733276644e-16,PASS
F29-P01-B,F29,F29-P01,BASELINE,11,1,composition_sum_error,0,PASS
F29-P01-T,F29,F29-P01,TREATMENT,11,1,composition_sum_error,0,PASS
F29-P02-B,F29,F29-P02,BASELINE,23,2,composition_sum_error,0,PASS
F29-P02-T,F29,F29-P02,TREATMENT,23,2,composition_sum_error,0,PASS
F29-P03-B,F29,F29-P03,BASELINE,47,3,composition_sum_error,0,PASS
F29-P03-T,F29,F29-P03,TREATMENT,47,3,composition_sum_error,0,PASS
F29-P04-B,F29,F29-P04,BASELINE,89,4,composition_sum_error,0,PASS
F29-P04-T,F29,F29-P04,TREATMENT,89,4,composition_sum_error,0,PASS
F29-P05-B,F29,F29-P05,BASELINE,131,5,composition_sum_error,0,PASS
F29-P05-T,F29,F29-P05,TREATMENT,131,5,composition_sum_error,0,PASS
F29-P06-B,F29,F29-P06,BASELINE,197,6,composition_sum_error,0,PASS
F29-P06-T,F29,F29-P06,TREATMENT,197,6,composition_sum_error,0,PASS
F30-P01-B,F30,F30-P01,BASELINE,11,1,composition_sum_error,0,PASS
F30-P01-T,F30,F30-P01,TREATMENT,11,1,composition_sum_error,0,PASS
F30-P02-B,F30,F30-P02,BASELINE,23,2,composition_sum_error,0,PASS
F30-P02-T,F30,F30-P02,TREATMENT,23,2,composition_sum_error,0,PASS
F30-P03-B,F30,F30-P03,BASELINE,47,3,composition_sum_error,0,PASS
F30-P03-T,F30,F30-P03,TREATMENT,47,3,composition_sum_error,0,PASS
F30-P04-B,F30,F30-P04,BASELINE,89,4,composition_sum_error,0,PASS
F30-P04-T,F30,F30-P04,TREATMENT,89,4,composition_sum_error,0,PASS
F30-P05-B,F30,F30-P05,BASELINE,131,5,composition_sum_error,0,PASS
F30-P05-T,F30,F30-P05,TREATMENT,131,5,composition_sum_error,0,PASS
F30-P06-B,F30,F30-P06,BASELINE,197,6,composition_sum_error,0,PASS
F30-P06-T,F30,F30-P06,TREATMENT,197,6,composition_sum_error,0,PASS
F31-P01-B,F31,F31-P01,BASELINE,11,1,composition_sum_error,0,PASS
F31-P01-T,F31,F31-P01,TREATMENT,11,1,composition_sum_error,0,PASS
F31-P02-B,F31,F31-P02,BASELINE,23,2,composition_sum_error,0,PASS
F31-P02-T,F31,F31-P02,TREATMENT,23,2,composition_sum_error,0,PASS
F31-P03-B,F31,F31-P03,BASELINE,47,3,composition_sum_error,0,PASS
F31-P03-T,F31,F31-P03,TREATMENT,47,3,composition_sum_error,0,PASS
F31-P04-B,F31,F31-P04,BASELINE,89,4,composition_sum_error,0,PASS
F31-P04-T,F31,F31-P04,TREATMENT,89,4,composition_sum_error,0,PASS
F31-P05-B,F31,F31-P05,BASELINE,131,5,composition_sum_error,0,PASS
F31-P05-T,F31,F31-P05,TREATMENT,131,5,composition_sum_error,0,PASS
F31-P06-B,F31,F31-P06,BASELINE,197,6,composition_sum_error,0,PASS
F31-P06-T,F31,F31-P06,TREATMENT,197,6,composition_sum_error,0,PASS
F32-P01-B,F32,F32-P01,BASELINE,11,1,composition_sum_error,0,PASS
F32-P01-T,F32,F32-P01,TREATMENT,11,1,composition_sum_error,0,PASS
F32-P02-B,F32,F32-P02,BASELINE,23,2,composition_sum_error,0,PASS
F32-P02-T,F32,F32-P02,TREATMENT,23,2,composition_sum_error,0,PASS
F32-P03-B,F32,F32-P03,BASELINE,47,3,composition_sum_error,0,PASS
F32-P03-T,F32,F32-P03,TREATMENT,47,3,composition_sum_error,0,PASS
F32-P04-B,F32,F32-P04,BASELINE,89,4,composition_sum_error,0,PASS
F32-P04-T,F32,F32-P04,TREATMENT,89,4,composition_sum_error,0,PASS
F32-P05-B,F32,F32-P05,BASELINE,131,5,composition_sum_error,0,PASS
F32-P05-T,F32,F32-P05,TREATMENT,131,5,composition_sum_error,0,PASS
F32-P06-B,F32,F32-P06,BASELINE,197,6,composition_sum_error,0,PASS
F32-P06-T,F32,F32-P06,TREATMENT,197,6,composition_sum_error,0,PASS
F33-P01-B,F33,F33-P01,BASELINE,11,1,composition_sum_error,0,PASS
F33-P01-T,F33,F33-P01,TREATMENT,11,1,composition_sum_error,0,PASS
F33-P02-B,F33,F33-P02,BASELINE,23,2,composition_sum_error,0,PASS
F33-P02-T,F33,F33-P02,TREATMENT,23,2,composition_sum_error,0,PASS
F33-P03-B,F33,F33-P03,BASELINE,47,3,composition_sum_error,0,PASS
F33-P03-T,F33,F33-P03,TREATMENT,47,3,composition_sum_error,0,PASS
F33-P04-B,F33,F33-P04,BASELINE,89,4,composition_sum_error,0,PASS
F33-P04-T,F33,F33-P04,TREATMENT,89,4,composition_sum_error,0,PASS
F33-P05-B,F33,F33-P05,BASELINE,131,5,composition_sum_error,0,PASS
F33-P05-T,F33,F33-P05,TREATMENT,131,5,composition_sum_error,0,PASS
F33-P06-B,F33,F33-P06,BASELINE,197,6,composition_sum_error,0,PASS
F33-P06-T,F33,F33-P06,TREATMENT,197,6,composition_sum_error,0,PASS
F34-P01-B,F34,F34-P01,BASELINE,11,1,composition_sum_error,0,PASS
F34-P01-T,F34,F34-P01,TREATMENT,11,1,composition_sum_error,0,PASS
F34-P02-B,F34,F34-P02,BASELINE,23,2,composition_sum_error,0,PASS
F34-P02-T,F34,F34-P02,TREATMENT,23,2,composition_sum_error,0,PASS
F34-P03-B,F34,F34-P03,BASELINE,47,3,composition_sum_error,0,PASS
F34-P03-T,F34,F34-P03,TREATMENT,47,3,composition_sum_error,0,PASS
F34-P04-B,F34,F34-P04,BASELINE,89,4,composition_sum_error,0,PASS
F34-P04-T,F34,F34-P04,TREATMENT,89,4,composition_sum_error,0,PASS
F34-P05-B,F34,F34-P05,BASELINE,131,5,composition_sum_error,0,PASS
F34-P05-T,F34,F34-P05,TREATMENT,131,5,composition_sum_error,0,PASS
F34-P06-B,F34,F34-P06,BASELINE,197,6,composition_sum_error,0,PASS
F34-P06-T,F34,F34-P06,TREATMENT,197,6,composition_sum_error,0,PASS
F35-P01-B,F35,F35-P01,BASELINE,11,1,component_power_imbalance_db,0,PASS
F35-P01-T,F35,F35-P01,TREATMENT,11,1,component_power_imbalance_db,12,PASS
F35-P02-B,F35,F35-P02,BASELINE,23,2,component_power_imbalance_db,0,PASS
F35-P02-T,F35,F35-P02,TREATMENT,23,2,component_power_imbalance_db,12,PASS
F35-P03-B,F35,F35-P03,BASELINE,47,3,component_power_imbalance_db,0,PASS
F35-P03-T,F35,F35-P03,TREATMENT,47,3,component_power_imbalance_db,12,PASS
F35-P04-B,F35,F35-P04,BASELINE,89,4,component_power_imbalance_db,0,PASS
F35-P04-T,F35,F35-P04,TREATMENT,89,4,component_power_imbalance_db,12,PASS
F35-P05-B,F35,F35-P05,BASELINE,131,5,component_power_imbalance_db,-4.82163733276644e-16,PASS
F35-P05-T,F35,F35-P05,TREATMENT,131,5,component_power_imbalance_db,12,PASS
F35-P06-B,F35,F35-P06,BASELINE,197,6,component_power_imbalance_db,9.64327466553287e-16,PASS
F35-P06-T,F35,F35-P06,TREATMENT,197,6,component_power_imbalance_db,12,PASS
F36-P01-B,F36,F36-P01,BASELINE,11,1,composition_sum_error,0,PASS
F36-P01-T,F36,F36-P01,TREATMENT,11,1,composition_sum_error,0,PASS
F36-P02-B,F36,F36-P02,BASELINE,23,2,composition_sum_error,0,PASS
F36-P02-T,F36,F36-P02,TREATMENT,23,2,composition_sum_error,0,PASS
F36-P03-B,F36,F36-P03,BASELINE,47,3,composition_sum_error,0,PASS
F36-P03-T,F36,F36-P03,TREATMENT,47,3,composition_sum_error,0,PASS
F36-P04-B,F36,F36-P04,BASELINE,89,4,composition_sum_error,0,PASS
F36-P04-T,F36,F36-P04,TREATMENT,89,4,composition_sum_error,0,PASS
F36-P05-B,F36,F36-P05,BASELINE,131,5,composition_sum_error,0,PASS
F36-P05-T,F36,F36-P05,TREATMENT,131,5,composition_sum_error,0,PASS
F36-P06-B,F36,F36-P06,BASELINE,197,6,composition_sum_error,0,PASS
F36-P06-T,F36,F36-P06,TREATMENT,197,6,composition_sum_error,0,PASS
F37-P01-B,F37,F37-P01,BASELINE,11,1,composition_sum_error,0,PASS
F37-P01-T,F37,F37-P01,TREATMENT,11,1,composition_sum_error,0,PASS
F37-P02-B,F37,F37-P02,BASELINE,23,2,composition_sum_error,0,PASS
F37-P02-T,F37,F37-P02,TREATMENT,23,2,composition_sum_error,0,PASS
F37-P03-B,F37,F37-P03,BASELINE,47,3,composition_sum_error,0,PASS
F37-P03-T,F37,F37-P03,TREATMENT,47,3,composition_sum_error,0,PASS
F37-P04-B,F37,F37-P04,BASELINE,89,4,composition_sum_error,0,PASS
F37-P04-T,F37,F37-P04,TREATMENT,89,4,composition_sum_error,0,PASS
F37-P05-B,F37,F37-P05,BASELINE,131,5,composition_sum_error,0,PASS
F37-P05-T,F37,F37-P05,TREATMENT,131,5,composition_sum_error,0,PASS
F37-P06-B,F37,F37-P06,BASELINE,197,6,composition_sum_error,0,PASS
F37-P06-T,F37,F37-P06,TREATMENT,197,6,composition_sum_error,0,PASS
F38-P01-B,F38,F38-P01,BASELINE,11,1,composition_sum_error,0,PASS
F38-P01-T,F38,F38-P01,TREATMENT,11,1,composition_sum_error,0,PASS
F38-P02-B,F38,F38-P02,BASELINE,23,2,composition_sum_error,0,PASS
F38-P02-T,F38,F38-P02,TREATMENT,23,2,composition_sum_error,0,PASS
F38-P03-B,F38,F38-P03,BASELINE,47,3,composition_sum_error,0,PASS
F38-P03-T,F38,F38-P03,TREATMENT,47,3,composition_sum_error,0,PASS
F38-P04-B,F38,F38-P04,BASELINE,89,4,composition_sum_error,0,PASS
F38-P04-T,F38,F38-P04,TREATMENT,89,4,composition_sum_error,0,PASS
F38-P05-B,F38,F38-P05,BASELINE,131,5,composition_sum_error,0,PASS
F38-P05-T,F38,F38-P05,TREATMENT,131,5,composition_sum_error,0,PASS
F38-P06-B,F38,F38-P06,BASELINE,197,6,composition_sum_error,0,PASS
F38-P06-T,F38,F38-P06,TREATMENT,197,6,composition_sum_error,0,PASS
F39-P01-B,F39,F39-P01,BASELINE,11,1,spectral_power_error_db,-3.85730986621315e-15,PASS
F39-P01-T,F39,F39-P01,TREATMENT,11,1,spectral_power_error_db,-3.85730986621315e-15,PASS
F39-P02-B,F39,F39-P02,BASELINE,23,2,spectral_power_error_db,-1.44649119982993e-15,PASS
F39-P02-T,F39,F39-P02,TREATMENT,23,2,spectral_power_error_db,-1.44649119982993e-15,PASS
F39-P03-B,F39,F39-P03,BASELINE,47,3,spectral_power_error_db,-3.37514613293651e-15,PASS
F39-P03-T,F39,F39-P03,TREATMENT,47,3,spectral_power_error_db,-3.37514613293651e-15,PASS
F39-P04-B,F39,F39-P04,BASELINE,89,4,spectral_power_error_db,-3.37514613293651e-15,PASS
F39-P04-T,F39,F39-P04,TREATMENT,89,4,spectral_power_error_db,-3.37514613293651e-15,PASS
F39-P05-B,F39,F39-P05,BASELINE,131,5,spectral_power_error_db,9.64327466553287e-16,PASS
F39-P05-T,F39,F39-P05,TREATMENT,131,5,spectral_power_error_db,9.64327466553287e-16,PASS
F39-P06-B,F39,F39-P06,BASELINE,197,6,spectral_power_error_db,-4.82163733276644e-16,PASS
F39-P06-T,F39,F39-P06,TREATMENT,197,6,spectral_power_error_db,-4.82163733276644e-16,PASS
F40-P01-B,F40,F40-P01,BASELINE,11,1,spectral_power_error_db,-3.85730986621315e-15,PASS
F40-P01-T,F40,F40-P01,TREATMENT,11,1,spectral_power_error_db,-3.85730986621315e-15,PASS
F40-P02-B,F40,F40-P02,BASELINE,23,2,spectral_power_error_db,-1.44649119982993e-15,PASS
F40-P02-T,F40,F40-P02,TREATMENT,23,2,spectral_power_error_db,-1.44649119982993e-15,PASS
F40-P03-B,F40,F40-P03,BASELINE,47,3,spectral_power_error_db,-3.37514613293651e-15,PASS
F40-P03-T,F40,F40-P03,TREATMENT,47,3,spectral_power_error_db,-3.37514613293651e-15,PASS
F40-P04-B,F40,F40-P04,BASELINE,89,4,spectral_power_error_db,-3.37514613293651e-15,PASS
F40-P04-T,F40,F40-P04,TREATMENT,89,4,spectral_power_error_db,-3.37514613293651e-15,PASS
F40-P05-B,F40,F40-P05,BASELINE,131,5,spectral_power_error_db,9.64327466553287e-16,PASS
F40-P05-T,F40,F40-P05,TREATMENT,131,5,spectral_power_error_db,9.64327466553287e-16,PASS
F40-P06-B,F40,F40-P06,BASELINE,197,6,spectral_power_error_db,-4.82163733276644e-16,PASS
F40-P06-T,F40,F40-P06,TREATMENT,197,6,spectral_power_error_db,-4.82163733276644e-16,PASS
F41-P01-B,F41,F41-P01,BASELINE,11,1,evm_pct,1.29195173483207e-14,PASS
F41-P01-T,F41,F41-P01,TREATMENT,11,1,evm_pct,130.23994027767,PASS
F41-P02-B,F41,F41-P02,BASELINE,23,2,evm_pct,1.76998475780723e-14,PASS
F41-P02-T,F41,F41-P02,TREATMENT,23,2,evm_pct,133.510705897056,PASS
F41-P03-B,F41,F41-P03,BASELINE,47,3,evm_pct,1.39700000369091e-14,PASS
F41-P03-T,F41,F41-P03,TREATMENT,47,3,evm_pct,131.02523224956,PASS
F41-P04-B,F41,F41-P04,BASELINE,89,4,evm_pct,1.49468349007045e-14,PASS
F41-P04-T,F41,F41-P04,TREATMENT,89,4,evm_pct,134.917020894797,PASS
F41-P05-B,F41,F41-P05,BASELINE,131,5,evm_pct,1.52023548612203e-14,PASS
F41-P05-T,F41,F41-P05,TREATMENT,131,5,evm_pct,135.091542380022,PASS
F41-P06-B,F41,F41-P06,BASELINE,197,6,evm_pct,1.42430551781838e-14,PASS
F41-P06-T,F41,F41-P06,TREATMENT,197,6,evm_pct,132.193513892775,PASS
F42-P01-B,F42,F42-P01,BASELINE,11,1,evm_pct,1.29195173483207e-14,PASS
F42-P01-T,F42,F42-P01,TREATMENT,11,1,evm_pct,133.665680028086,PASS
F42-P02-B,F42,F42-P02,BASELINE,23,2,evm_pct,1.76998475780723e-14,PASS
F42-P02-T,F42,F42-P02,TREATMENT,23,2,evm_pct,132.036557299912,PASS
F42-P03-B,F42,F42-P03,BASELINE,47,3,evm_pct,1.39700000369091e-14,PASS
F42-P03-T,F42,F42-P03,TREATMENT,47,3,evm_pct,134.602104371569,PASS
F42-P04-B,F42,F42-P04,BASELINE,89,4,evm_pct,1.49468349007045e-14,PASS
F42-P04-T,F42,F42-P04,TREATMENT,89,4,evm_pct,132.371423836204,PASS
F42-P05-B,F42,F42-P05,BASELINE,131,5,evm_pct,1.52023548612203e-14,PASS
F42-P05-T,F42,F42-P05,TREATMENT,131,5,evm_pct,134.071397239305,PASS
F42-P06-B,F42,F42-P06,BASELINE,197,6,evm_pct,1.42430551781838e-14,PASS
F42-P06-T,F42,F42-P06,TREATMENT,197,6,evm_pct,131.447584426637,PASS
F43-P01-B,F43,F43-P01,BASELINE,11,1,evm_pct,1.29195173483207e-14,PASS
F43-P01-T,F43,F43-P01,TREATMENT,11,1,evm_pct,1.99235644906562,PASS
F43-P02-B,F43,F43-P02,BASELINE,23,2,evm_pct,1.76998475780723e-14,PASS
F43-P02-T,F43,F43-P02,TREATMENT,23,2,evm_pct,2.05385762394306,PASS
F43-P03-B,F43,F43-P03,BASELINE,47,3,evm_pct,1.39700000369091e-14,PASS
F43-P03-T,F43,F43-P03,TREATMENT,47,3,evm_pct,2.01727650348984,PASS
F43-P04-B,F43,F43-P04,BASELINE,89,4,evm_pct,1.49468349007045e-14,PASS
F43-P04-T,F43,F43-P04,TREATMENT,89,4,evm_pct,2.1023520411949,PASS
F43-P05-B,F43,F43-P05,BASELINE,131,5,evm_pct,1.52023548612203e-14,PASS
F43-P05-T,F43,F43-P05,TREATMENT,131,5,evm_pct,2.11217082716103,PASS
F43-P06-B,F43,F43-P06,BASELINE,197,6,evm_pct,1.42430551781838e-14,PASS
F43-P06-T,F43,F43-P06,TREATMENT,197,6,evm_pct,2.05544065307423,PASS
F44-P01-B,F44,F44-P01,BASELINE,11,1,evm_pct,1.29195173483207e-14,PASS
F44-P01-T,F44,F44-P01,TREATMENT,11,1,evm_pct,1.26627063816656,PASS
F44-P02-B,F44,F44-P02,BASELINE,23,2,evm_pct,1.76998475780723e-14,PASS
F44-P02-T,F44,F44-P02,TREATMENT,23,2,evm_pct,1.87561774343034,PASS
F44-P03-B,F44,F44-P03,BASELINE,47,3,evm_pct,1.39700000369091e-14,PASS
F44-P03-T,F44,F44-P03,TREATMENT,47,3,evm_pct,2.68394650253978,PASS
F44-P04-B,F44,F44-P04,BASELINE,89,4,evm_pct,1.49468349007045e-14,PASS
F44-P04-T,F44,F44-P04,TREATMENT,89,4,evm_pct,4.77000367298469,PASS
F44-P05-B,F44,F44-P05,BASELINE,131,5,evm_pct,1.52023548612203e-14,PASS
F44-P05-T,F44,F44-P05,TREATMENT,131,5,evm_pct,0.811272331948972,PASS
F44-P06-B,F44,F44-P06,BASELINE,197,6,evm_pct,1.42430551781838e-14,PASS
F44-P06-T,F44,F44-P06,TREATMENT,197,6,evm_pct,1.60851634685076,PASS
F45-P01-B,F45,F45-P01,BASELINE,11,1,evm_pct,14.8913420550531,PASS
F45-P01-T,F45,F45-P01,TREATMENT,11,1,evm_pct,34.746464795124,PASS
F45-P02-B,F45,F45-P02,BASELINE,23,2,evm_pct,14.779888819711,PASS
F45-P02-T,F45,F45-P02,TREATMENT,23,2,evm_pct,34.4864072459923,PASS
F45-P03-B,F45,F45-P03,BASELINE,47,3,evm_pct,14.8116580257503,PASS
F45-P03-T,F45,F45-P03,TREATMENT,47,3,evm_pct,34.5605353934174,PASS
F45-P04-B,F45,F45-P04,BASELINE,89,4,evm_pct,14.8013009550826,PASS
F45-P04-T,F45,F45-P04,TREATMENT,89,4,evm_pct,34.5363688951927,PASS
F45-P05-B,F45,F45-P05,BASELINE,131,5,evm_pct,14.980152175067,PASS
F45-P05-T,F45,F45-P05,TREATMENT,131,5,evm_pct,34.9536884084898,PASS
F45-P06-B,F45,F45-P06,BASELINE,197,6,evm_pct,14.5578871671687,PASS
F45-P06-T,F45,F45-P06,TREATMENT,197,6,evm_pct,33.9684033900603,PASS
F46-P01-B,F46,F46-P01,BASELINE,11,1,evm_pct,14.8913420550531,PASS
F46-P01-T,F46,F46-P01,TREATMENT,11,1,evm_pct,34.746464795124,PASS
F46-P02-B,F46,F46-P02,BASELINE,23,2,evm_pct,14.779888819711,PASS
F46-P02-T,F46,F46-P02,TREATMENT,23,2,evm_pct,34.4864072459923,PASS
F46-P03-B,F46,F46-P03,BASELINE,47,3,evm_pct,14.8116580257503,PASS
F46-P03-T,F46,F46-P03,TREATMENT,47,3,evm_pct,34.5605353934174,PASS
F46-P04-B,F46,F46-P04,BASELINE,89,4,evm_pct,14.8013009550826,PASS
F46-P04-T,F46,F46-P04,TREATMENT,89,4,evm_pct,34.5363688951927,PASS
F46-P05-B,F46,F46-P05,BASELINE,131,5,evm_pct,14.980152175067,PASS
F46-P05-T,F46,F46-P05,TREATMENT,131,5,evm_pct,34.9536884084898,PASS
F46-P06-B,F46,F46-P06,BASELINE,197,6,evm_pct,14.5578871671687,PASS
F46-P06-T,F46,F46-P06,TREATMENT,197,6,evm_pct,33.9684033900603,PASS
F47-P01-B,F47,F47-P01,BASELINE,11,1,evm_pct,1.29195173483207e-14,PASS
F47-P01-T,F47,F47-P01,TREATMENT,11,1,evm_pct,133.665680028086,PASS
F47-P02-B,F47,F47-P02,BASELINE,23,2,evm_pct,1.76998475780723e-14,PASS
F47-P02-T,F47,F47-P02,TREATMENT,23,2,evm_pct,132.036557299912,PASS
F47-P03-B,F47,F47-P03,BASELINE,47,3,evm_pct,1.39700000369091e-14,PASS
F47-P03-T,F47,F47-P03,TREATMENT,47,3,evm_pct,134.602104371569,PASS
F47-P04-B,F47,F47-P04,BASELINE,89,4,evm_pct,1.49468349007045e-14,PASS
F47-P04-T,F47,F47-P04,TREATMENT,89,4,evm_pct,132.371423836204,PASS
F47-P05-B,F47,F47-P05,BASELINE,131,5,evm_pct,1.52023548612203e-14,PASS
F47-P05-T,F47,F47-P05,TREATMENT,131,5,evm_pct,134.071397239305,PASS
F47-P06-B,F47,F47-P06,BASELINE,197,6,evm_pct,1.42430551781838e-14,PASS
F47-P06-T,F47,F47-P06,TREATMENT,197,6,evm_pct,131.447584426637,PASS
F48-P01-B,F48,F48-P01,BASELINE,11,1,evm_pct,1.29195173483207e-14,PASS
F48-P01-T,F48,F48-P01,TREATMENT,11,1,evm_pct,0.00894570014718602,PASS
F48-P02-B,F48,F48-P02,BASELINE,23,2,evm_pct,1.76998475780723e-14,PASS
F48-P02-T,F48,F48-P02,TREATMENT,23,2,evm_pct,0.0101332993156311,PASS
F48-P03-B,F48,F48-P03,BASELINE,47,3,evm_pct,1.39700000369091e-14,PASS
F48-P03-T,F48,F48-P03,TREATMENT,47,3,evm_pct,0.00979392447601789,PASS
F48-P04-B,F48,F48-P04,BASELINE,89,4,evm_pct,1.49468349007045e-14,PASS
F48-P04-T,F48,F48-P04,TREATMENT,89,4,evm_pct,0.0107716992524328,PASS
F48-P05-B,F48,F48-P05,BASELINE,131,5,evm_pct,1.52023548612203e-14,PASS
F48-P05-T,F48,F48-P05,TREATMENT,131,5,evm_pct,0.00980775096764699,PASS
F48-P06-B,F48,F48-P06,BASELINE,197,6,evm_pct,1.42430551781838e-14,PASS
F48-P06-T,F48,F48-P06,TREATMENT,197,6,evm_pct,0.00907691536420637,PASS
F49-P01-B,F49,F49-P01,BASELINE,11,1,evm_pct,1.29195173483207e-14,PASS
F49-P01-T,F49,F49-P01,TREATMENT,11,1,wrong_dft_size_rejected,0,PASS
F49-P02-B,F49,F49-P02,BASELINE,23,2,evm_pct,1.76998475780723e-14,PASS
F49-P02-T,F49,F49-P02,TREATMENT,23,2,wrong_dft_size_rejected,0,PASS
F49-P03-B,F49,F49-P03,BASELINE,47,3,evm_pct,1.39700000369091e-14,PASS
F49-P03-T,F49,F49-P03,TREATMENT,47,3,wrong_dft_size_rejected,0,PASS
F49-P04-B,F49,F49-P04,BASELINE,89,4,evm_pct,1.49468349007045e-14,PASS
F49-P04-T,F49,F49-P04,TREATMENT,89,4,wrong_dft_size_rejected,0,PASS
F49-P05-B,F49,F49-P05,BASELINE,131,5,evm_pct,1.52023548612203e-14,PASS
F49-P05-T,F49,F49-P05,TREATMENT,131,5,wrong_dft_size_rejected,0,PASS
F49-P06-B,F49,F49-P06,BASELINE,197,6,evm_pct,1.42430551781838e-14,PASS
F49-P06-T,F49,F49-P06,TREATMENT,197,6,wrong_dft_size_rejected,0,PASS
F50-P01-B,F50,F50-P01,BASELINE,11,1,evm_pct,1.29195173483207e-14,PASS
F50-P01-T,F50,F50-P01,TREATMENT,11,1,evm_pct,0.600000000000005,PASS
F50-P02-B,F50,F50-P02,BASELINE,23,2,evm_pct,1.76998475780723e-14,PASS
F50-P02-T,F50,F50-P02,TREATMENT,23,2,evm_pct,0.600000000000007,PASS
F50-P03-B,F50,F50-P03,BASELINE,47,3,evm_pct,1.39700000369091e-14,PASS
F50-P03-T,F50,F50-P03,TREATMENT,47,3,evm_pct,0.600000000000004,PASS
F50-P04-B,F50,F50-P04,BASELINE,89,4,evm_pct,1.49468349007045e-14,PASS
F50-P04-T,F50,F50-P04,TREATMENT,89,4,evm_pct,0.600000000000004,PASS
F50-P05-B,F50,F50-P05,BASELINE,131,5,evm_pct,1.52023548612203e-14,PASS
F50-P05-T,F50,F50-P05,TREATMENT,131,5,evm_pct,0.600000000000003,PASS
F50-P06-B,F50,F50-P06,BASELINE,197,6,evm_pct,1.42430551781838e-14,PASS
F50-P06-T,F50,F50-P06,TREATMENT,197,6,evm_pct,0.600000000000003,PASS
F51-P01-B,F51,F51-P01,BASELINE,11,1,evm_pct,1.29195173483207e-14,PASS
F51-P01-T,F51,F51-P01,TREATMENT,11,1,evm_pct,0.600000000000005,PASS
F51-P02-B,F51,F51-P02,BASELINE,23,2,evm_pct,1.76998475780723e-14,PASS
F51-P02-T,F51,F51-P02,TREATMENT,23,2,evm_pct,0.600000000000007,PASS
F51-P03-B,F51,F51-P03,BASELINE,47,3,evm_pct,1.39700000369091e-14,PASS
F51-P03-T,F51,F51-P03,TREATMENT,47,3,evm_pct,0.600000000000004,PASS
F51-P04-B,F51,F51-P04,BASELINE,89,4,evm_pct,1.49468349007045e-14,PASS
F51-P04-T,F51,F51-P04,TREATMENT,89,4,evm_pct,0.600000000000004,PASS
F51-P05-B,F51,F51-P05,BASELINE,131,5,evm_pct,1.52023548612203e-14,PASS
F51-P05-T,F51,F51-P05,TREATMENT,131,5,evm_pct,0.600000000000003,PASS
F51-P06-B,F51,F51-P06,BASELINE,197,6,evm_pct,1.42430551781838e-14,PASS
F51-P06-T,F51,F51-P06,TREATMENT,197,6,evm_pct,0.600000000000003,PASS
