FamilyID,ExperimentID,Variant,PreambleFormat,RestrictedSet,ZCZ,Msg1FDM,RODensity,DetectionProbability,FalseAlarmProbability,TimingRMSE_samples,CollisionProbability,Status
F13,F13-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F13,F13-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F13,F13-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F13,F13-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F13,F13-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F13,F13-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F13,F13-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F13,F13-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F13,F13-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F13,F13-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P03-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P03-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P04-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P04-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P05-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P05-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P06-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F14,F14-P06-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F15,F15-P01-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F15,F15-P01-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F15,F15-P02-B,baseline,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
F15,F15-P02-T,treatment,0,UnrestrictedSet,0,1,1,1,0,0,0,PASS
