RunID,CaseID,DCIFormat,ContextDigest,PayloadBits,InputBitsSHA256,DecodedBitsSHA256,FieldMismatchCount,LengthMismatchRejected,MissingFieldRejected,OutOfRangeRejected,UnexpectedFieldRejected,Status
PDCCH_PHASE04_R18,DCI0036,1_1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,9f601f142df11a8d883ac950e6a2b1a7013e0261fd69ab6b372d29e839ab81d8,9f601f142df11a8d883ac950e6a2b1a7013e0261fd69ab6b372d29e839ab81d8,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0037,0_0,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,9a96a6a8b954f393c67f8263bffad2935afdeb2fb76e8350b5e2241d64127727,9a96a6a8b954f393c67f8263bffad2935afdeb2fb76e8350b5e2241d64127727,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0038,0_1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,4e9d114e7bcb65db3fe0c94a5a656812439187f284acd8e5fe015e79db6f4217,4e9d114e7bcb65db3fe0c94a5a656812439187f284acd8e5fe015e79db6f4217,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0039,1_0,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,b22d54ba6f3297817bd05f48f293bb909b89bef023143a9da35ec3cf80e8618e,b22d54ba6f3297817bd05f48f293bb909b89bef023143a9da35ec3cf80e8618e,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0040,1_1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,2ecde4b35224809b1338d4825f0069c63cd1abcb19860b9cf267c77180962d9e,2ecde4b35224809b1338d4825f0069c63cd1abcb19860b9cf267c77180962d9e,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0041,0_0,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,a89100eba805a94d82ee567bde9ece3697db6c6cf3fc878642d345f5f57ab481,a89100eba805a94d82ee567bde9ece3697db6c6cf3fc878642d345f5f57ab481,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0042,0_1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,bf75ec82a281aae9bb36193c1ecc86e646e85269fbc6a89b656baf39996b38d8,bf75ec82a281aae9bb36193c1ecc86e646e85269fbc6a89b656baf39996b38d8,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0043,1_0,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,17065fd26494ce8351d12a3ef75cbad267d149203c36ce50aab1e33e8f29ec90,17065fd26494ce8351d12a3ef75cbad267d149203c36ce50aab1e33e8f29ec90,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0044,1_1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,80d774b93b0df1302dfb4a47d7ff9c78a00fc8137432f08f4585318b69d3c8da,80d774b93b0df1302dfb4a47d7ff9c78a00fc8137432f08f4585318b69d3c8da,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0045,0_0,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,0c72703811c357024a1d31bf61f5db366091cc084571130f5f8e4aaa8a9f6382,0c72703811c357024a1d31bf61f5db366091cc084571130f5f8e4aaa8a9f6382,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0046,0_1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,2250a15b7e075c1b0216e2dc234f1de0df372c7794ed3ae01ee0b26441a4ce75,2250a15b7e075c1b0216e2dc234f1de0df372c7794ed3ae01ee0b26441a4ce75,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0047,1_0,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,f1103ef499ca50be02bcaaa21a83dd2bd6102c5993cb7865708d2fdbdade07b9,f1103ef499ca50be02bcaaa21a83dd2bd6102c5993cb7865708d2fdbdade07b9,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0048,1_1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,e04e912c24201daec834aaec801c3eb7ba743b541969b7a94b86d5ae6b2b0d5b,e04e912c24201daec834aaec801c3eb7ba743b541969b7a94b86d5ae6b2b0d5b,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0049,0_0,03ca73edcd1dc2cf92fc94fe9eeadb1134fb2d060d17e94eaa9cb87b9fcd0d99,44,cee0ed3fc62bb9725d30b1fcedef3ae31aec275250604fe10a379f33c5d9656b,cee0ed3fc62bb9725d30b1fcedef3ae31aec275250604fe10a379f33c5d9656b,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0050,0_1,a3824db8efa8b0cfc1b8fe10dd6e6b99698d26ce61ad7e49ed79104fcf0919b2,57,956ee523e2add2bb6e02376f4d78e06086f321e48220e4c7807838a6356f59f3,956ee523e2add2bb6e02376f4d78e06086f321e48220e4c7807838a6356f59f3,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0051,1_0,1bda0665f1a86551bfb952bed54901c28dfcadfdb24905d33700b0f5e6efccf6,44,bae8128c854316a01cf932b6d0a9b1af05d25507f6bb29b73e04195aed72c808,bae8128c854316a01cf932b6d0a9b1af05d25507f6bb29b73e04195aed72c808,0,true,true,true,true,PASS
PDCCH_PHASE04_R18,DCI0052,1_1,39b12b1aef1b77edf72fc3e436d739a734942ab662d0f26c4461a066194587ca,62,fe5035267c9940121774cd5a0959a74a0571ae6a4d2d574b00f7cfb07431b336,fe5035267c9940121774cd5a0959a74a0571ae6a4d2d574b00f7cfb07431b336,0,true,true,true,true,PASS
