Direction,TraceSource,SNR_dB,QualityAxis,QualityValueRole,QualitySource,Metric,MeanValue,P05Value,P95Value,SampleCount,BeamManagementProcedure,SignalSourceFamily
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2PrecodingNumPorts",4,4,4,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2BeamDetectedRate",1,1,1,6,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"DL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2MisalignmentRate",0.666666666666667,0,1,6,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"DL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2BeamFailureRate",0,0,0,6,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"DL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2PredictionSuccessRate",0.333333333333333,0,1,6,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"DL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2TrialsSinceLastSwitch",0.166666666666667,0,0.75,6,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"UL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2BeamDetectedRate",1,1,1,2,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"UL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2MisalignmentRate",1,1,1,2,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"UL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2BeamFailureRate",0.5,0.05,0.95,2,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"UL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2PredictionSuccessRate",0,0,0,2,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"UL","beamforming/csv/beam_management_state_trace.csv",20,"SNR_dB","measured_runtime_beam_state_trace","SNR_dB","P2TrialsSinceLastSwitch",0,0,0,2,"P2_runtime_beam_state_tracking","BEAM_STATE_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2SwitchEventRate",0.166666666666667,0,0.75,6,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2FirstHitEventRate",0.333333333333333,0,1,6,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2BeamDetectedEventRate",0.666666666666667,0,1,6,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2MisalignmentEventRate",0.666666666666667,0,1,6,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2FailureEventRate",0,0,0,6,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2SwitchLatencySlots",2,2,2,1,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2SwitchLatency_s",0.001,0.001,0.001,1,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"DL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2TrialsToFirstHit",1,1,1,3,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"UL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2SwitchEventRate",0,0,0,2,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"UL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2FirstHitEventRate",0,0,0,2,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"UL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2BeamDetectedEventRate",1,1,1,2,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"UL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2MisalignmentEventRate",1,1,1,2,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
"UL","beamforming/csv/beam_management_event_trace.csv",20,"SNR_dB","measured_runtime_beam_event_trace","SNR_dB","P2FailureEventRate",0.5,0.05,0.95,2,"P2_runtime_beam_event_tracking","BEAM_EVENT_TRACE"
