ExperimentID,FamilyID,PairID,Role,Seed,TrialID,Metric,Value,Status
F19-P02-T,F19,F19-P02,treatment,23,2,EVM_pct,2.52610461580314,PASS
F19-P03-B,F19,F19-P03,baseline,47,3,EVM_pct,0,PASS
F19-P03-T,F19,F19-P03,treatment,47,3,EVM_pct,2.45850775378346,PASS
F19-P04-B,F19,F19-P04,baseline,89,4,EVM_pct,0,PASS
F19-P04-T,F19,F19-P04,treatment,89,4,EVM_pct,2.51859088989022,PASS
F19-P05-B,F19,F19-P05,baseline,131,5,EVM_pct,0,PASS
F19-P05-T,F19,F19-P05,treatment,131,5,EVM_pct,2.42122578088556,PASS
F19-P06-B,F19,F19-P06,baseline,197,6,EVM_pct,0,PASS
F19-P06-T,F19,F19-P06,treatment,197,6,EVM_pct,2.50289873498817,PASS
F20-P01-B,F20,F20-P01,baseline,11,1,EVM_pct,0,PASS
F20-P01-T,F20,F20-P01,treatment,11,1,EVM_pct,3.7007936226696,PASS
F20-P02-B,F20,F20-P02,baseline,23,2,EVM_pct,0,PASS
F20-P02-T,F20,F20-P02,treatment,23,2,EVM_pct,4.00069941428289,PASS
F20-P03-B,F20,F20-P03,baseline,47,3,EVM_pct,0,PASS
F20-P03-T,F20,F20-P03,treatment,47,3,EVM_pct,3.85946138791065,PASS
F20-P04-B,F20,F20-P04,baseline,89,4,EVM_pct,0,PASS
F20-P04-T,F20,F20-P04,treatment,89,4,EVM_pct,4.01015428665517,PASS
F20-P05-B,F20,F20-P05,baseline,131,5,EVM_pct,0,PASS
F20-P05-T,F20,F20-P05,treatment,131,5,EVM_pct,3.88000699579556,PASS
F20-P06-B,F20,F20-P06,baseline,197,6,EVM_pct,0,PASS
F20-P06-T,F20,F20-P06,treatment,197,6,EVM_pct,3.93629163871842,PASS
F21-P01-B,F21,F21-P01,baseline,11,1,EVM_pct,0,PASS
F21-P01-T,F21,F21-P01,treatment,11,1,EVM_pct,5.09025829504758,PASS
F21-P02-B,F21,F21-P02,baseline,23,2,EVM_pct,0,PASS
F21-P02-T,F21,F21-P02,treatment,23,2,EVM_pct,5.54296352779531,PASS
F21-P03-B,F21,F21-P03,baseline,47,3,EVM_pct,0,PASS
F21-P03-T,F21,F21-P03,treatment,47,3,EVM_pct,5.33193321938209,PASS
F21-P04-B,F21,F21-P04,baseline,89,4,EVM_pct,0,PASS
F21-P04-T,F21,F21-P04,treatment,89,4,EVM_pct,5.57144477725408,PASS
F21-P05-B,F21,F21-P05,baseline,131,5,EVM_pct,0,PASS
F21-P05-T,F21,F21-P05,treatment,131,5,EVM_pct,5.41395935034255,PASS
F21-P06-B,F21,F21-P06,baseline,197,6,EVM_pct,0,PASS
F21-P06-T,F21,F21-P06,treatment,197,6,EVM_pct,5.44006039081866,PASS
F22-P01-B,F22,F22-P01,baseline,11,1,EVM_pct,0,PASS
F22-P01-T,F22,F22-P01,treatment,11,1,EVM_pct,6.51769229417442,PASS
F22-P02-B,F22,F22-P02,baseline,23,2,EVM_pct,0,PASS
F22-P02-T,F22,F22-P02,treatment,23,2,EVM_pct,7.12030949974437,PASS
F22-P03-B,F22,F22-P03,baseline,47,3,EVM_pct,0,PASS
F22-P03-T,F22,F22-P03,treatment,47,3,EVM_pct,6.84077267588276,PASS
F22-P04-B,F22,F22-P04,baseline,89,4,EVM_pct,0,PASS
F22-P04-T,F22,F22-P04,treatment,89,4,EVM_pct,7.16905907647261,PASS
F22-P05-B,F22,F22-P05,baseline,131,5,EVM_pct,0,PASS
F22-P05-T,F22,F22-P05,treatment,131,5,EVM_pct,6.98697073824991,PASS
F22-P06-B,F22,F22-P06,baseline,197,6,EVM_pct,0,PASS
F22-P06-T,F22,F22-P06,treatment,197,6,EVM_pct,6.97976351583259,PASS
F23-P01-B,F23,F23-P01,baseline,11,1,EVM_pct,0,PASS
F23-P01-T,F23,F23-P01,treatment,11,1,EVM_pct,7.971429445216,PASS
F23-P02-B,F23,F23-P02,baseline,23,2,EVM_pct,0,PASS
F23-P02-T,F23,F23-P02,treatment,23,2,EVM_pct,8.72305580430266,PASS
F23-P03-B,F23,F23-P03,baseline,47,3,EVM_pct,0,PASS
F23-P03-T,F23,F23-P03,treatment,47,3,EVM_pct,8.37542418345839,PASS
F23-P04-B,F23,F23-P04,baseline,89,4,EVM_pct,0,PASS
F23-P04-T,F23,F23-P04,treatment,89,4,EVM_pct,8.7931747893093,PASS
F23-P05-B,F23,F23-P05,baseline,131,5,EVM_pct,0,PASS
F23-P05-T,F23,F23-P05,treatment,131,5,EVM_pct,8.58860748134422,PASS
F23-P06-B,F23,F23-P06,baseline,197,6,EVM_pct,0,PASS
F23-P06-T,F23,F23-P06,treatment,197,6,EVM_pct,8.54506485845138,PASS
F24-P01-B,F24,F24-P01,baseline,11,1,EVM_pct,0,PASS
F24-P01-T,F24,F24-P01,treatment,11,1,EVM_pct,4.08546073421433e-14,PASS
F24-P02-B,F24,F24-P02,baseline,23,2,EVM_pct,0,PASS
F24-P02-T,F24,F24-P02,treatment,23,2,EVM_pct,2.35791587069877e-14,PASS
F24-P03-B,F24,F24-P03,baseline,47,3,EVM_pct,0,PASS
F24-P03-T,F24,F24-P03,treatment,47,3,EVM_pct,4.16215077657083e-14,PASS
F24-P04-B,F24,F24-P04,baseline,89,4,EVM_pct,0,PASS
F24-P04-T,F24,F24-P04,treatment,89,4,EVM_pct,4.00278946667032e-14,PASS
F24-P05-B,F24,F24-P05,baseline,131,5,EVM_pct,0,PASS
F24-P05-T,F24,F24-P05,treatment,131,5,EVM_pct,1.47120883599683e-14,PASS
F24-P06-B,F24,F24-P06,baseline,197,6,EVM_pct,0,PASS
F24-P06-T,F24,F24-P06,treatment,197,6,EVM_pct,2.51300700582404e-14,PASS
F25-P01-B,F25,F25-P01,baseline,11,1,EVM_pct,75.0832799877676,PASS
F25-P01-T,F25,F25-P01,treatment,11,1,EVM_pct,29.7819938733676,PASS
F25-P02-B,F25,F25-P02,baseline,23,2,EVM_pct,75.092035850837,PASS
F25-P02-T,F25,F25-P02,treatment,23,2,EVM_pct,29.80860888401,PASS
F25-P03-B,F25,F25-P03,baseline,47,3,EVM_pct,75.0915677871003,PASS
F25-P03-T,F25,F25-P03,treatment,47,3,EVM_pct,29.8060938312231,PASS
F25-P04-B,F25,F25-P04,baseline,89,4,EVM_pct,75.0588615832901,PASS
F25-P04-T,F25,F25-P04,treatment,89,4,EVM_pct,29.7125689926123,PASS
F25-P05-B,F25,F25-P05,baseline,131,5,EVM_pct,75.0913504653468,PASS
F25-P05-T,F25,F25-P05,treatment,131,5,EVM_pct,29.8051451458679,PASS
F25-P06-B,F25,F25-P06,baseline,197,6,EVM_pct,75.0468700515475,PASS
F25-P06-T,F25,F25-P06,treatment,197,6,EVM_pct,29.6785319226838,PASS
F26-P01-B,F26,F26-P01,baseline,11,1,EVM_pct,75.0832799877676,PASS
F26-P01-T,F26,F26-P01,treatment,11,1,EVM_pct,28.1470816972236,PASS
F26-P02-B,F26,F26-P02,baseline,23,2,EVM_pct,75.092035850837,PASS
F26-P02-T,F26,F26-P02,treatment,23,2,EVM_pct,28.1745068720496,PASS
F26-P03-B,F26,F26-P03,baseline,47,3,EVM_pct,75.0915677871003,PASS
F26-P03-T,F26,F26-P03,treatment,47,3,EVM_pct,28.171815544862,PASS
F26-P04-B,F26,F26-P04,baseline,89,4,EVM_pct,75.0588615832901,PASS
F26-P04-T,F26,F26-P04,treatment,89,4,EVM_pct,28.0759814893836,PASS
F26-P05-B,F26,F26-P05,baseline,131,5,EVM_pct,75.0913504653468,PASS
F26-P05-T,F26,F26-P05,treatment,131,5,EVM_pct,28.1708116776525,PASS
F26-P06-B,F26,F26-P06,baseline,197,6,EVM_pct,75.0468700515475,PASS
F26-P06-T,F26,F26-P06,treatment,197,6,EVM_pct,28.0411284980911,PASS
F27-P01-B,F27,F27-P01,baseline,11,1,EVM_pct,56.2739445609842,PASS
F27-P01-T,F27,F27-P01,treatment,11,1,EVM_pct,31.2175252561007,PASS
F27-P02-B,F27,F27-P02,baseline,23,2,EVM_pct,56.2267964894963,PASS
F27-P02-T,F27,F27-P02,treatment,23,2,EVM_pct,31.6495179706667,PASS
F27-P03-B,F27,F27-P03,baseline,47,3,EVM_pct,56.3895244148204,PASS
F27-P03-T,F27,F27-P03,treatment,47,3,EVM_pct,30.9491620012467,PASS
F27-P04-B,F27,F27-P04,baseline,89,4,EVM_pct,55.7551126700638,PASS
F27-P04-T,F27,F27-P04,treatment,89,4,EVM_pct,32.6959667568999,PASS
F27-P05-B,F27,F27-P05,baseline,131,5,EVM_pct,56.3863768073142,PASS
F27-P05-T,F27,F27-P05,treatment,131,5,EVM_pct,30.9768196225401,PASS
F27-P06-B,F27,F27-P06,baseline,197,6,EVM_pct,55.5699228168242,PASS
F27-P06-T,F27,F27-P06,treatment,197,6,EVM_pct,33.0832190264746,PASS
F28-P01-B,F28,F28-P01,baseline,11,1,EVM_pct,75.0832799877676,PASS
F28-P01-T,F28,F28-P01,treatment,11,1,EVM_pct,24.7625188807216,PASS
F28-P02-B,F28,F28-P02,baseline,23,2,EVM_pct,75.092035850837,PASS
