ScenarioID,ConfigHash,RunTag,RunnerProfile,Direction,FieldName,ObservedValue,SourceArtifact,ValueSource,ValueRole,ValueStatus,ValueDefinition,FinalizedFlag,PlaceholderFlag,FallbackFlag,NAReason,ConsistencyStatus
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,SelectedBeamIndex,2,air_interface/csv/dl_pdsch_trials.csv,runtime_beam_selection,applied,OK,Beam index selected by the active runtime beam-selection path.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,BestBeamIndex,7,air_interface/csv/dl_pdsch_trials.csv,runtime_beam_quality_ranking,estimated,OK,"Best-beam estimate computed from runtime beam-quality ranking, distinct from the selected beam.",1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,GrantControlState,control_ok,air_interface/csv/dl_pdsch_trials.csv,coupled_runtime_control_state,runtime_state_derived,OK,Grant control gating state from the coupled runtime coordinator.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,UL,ConfiguredSNR_dB,12,air_interface/csv/ul_pusch_trials.csv,configured_runtime_operating_point_reference,configured,OK,"Configured operating-point SNR, not a measured SINR.",0,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,UL,AppliedAWGNSNR_dB,52.5267765113,air_interface/csv/ul_pusch_trials.csv,noise_model_replay,applied,OK,AWGN-equivalent SNR actually applied by the active channel/noise replay path.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,UL,ReceiverHestSINR_dB,41.7427252789,air_interface/csv/ul_pusch_trials.csv,receiver_hest_csi_feedback_wideband_effective_sinr,estimated,OK,Wideband effective SINR estimated from receiver Hest and CSI feedback. This is not decoder-truth SINR.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,UL,DecoderTruthProxySINR_dB,12.1222620977,air_interface/csv/ul_pusch_trials.csv,post_equalization_evm_proxy,derived,OK,Post-equalization decode-side SINR proxy derived as 10log10(1/EVM_rms^2) from equalized-vs-reference symbol mismatch.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,UL,WidebandCQI,15,air_interface/csv/ul_pusch_trials.csv,receiver_hest_csi_feedback,estimated,OK,Estimated CQI from CSI feedback path.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,UL,MCS,10,air_interface/csv/ul_pusch_trials.csv,scheduler_grant,applied,OK,Actual transmitted MCS from the scheduler grant.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,UL,TransformPrecodingApplied,0,air_interface/csv/ul_pusch_trials.csv,runtime_ul_waveform_configuration,applied,OK,Whether transform precoding was actually applied by the active UL waveform path.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,UL,GrantControlState,control_ok,air_interface/csv/ul_pusch_trials.csv,coupled_runtime_control_state,runtime_state_derived,OK,Grant control gating state from the coupled runtime coordinator.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,MobilitySpeed_kmh,3,reports/csv/runtime_operating_mode.csv,resolved_scenario_mobility_speed,configured,OK,"Resolved UE mobility speed carried into runtime operating mode. This is speed, not Doppler.",1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,ResolvedDopplerHz,11.1188031733,reports/csv/runtime_operating_mode.csv,carrier_frequency_and_mobility_speed_derivation,derived,OK,"Runtime Doppler derived from mobility speed and carrier frequency when derive_from_ue_speed is active, or passed through from configured Doppler otherwise.",1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,DopplerSourceMode,derive_from_ue_speed,reports/csv/runtime_operating_mode.csv,resolved_channel_doppler_mode,resolved,OK,Resolved runtime Doppler authority token indicating whether Doppler came from configuration or speed-based derivation.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,SCS_kHz,30,reports/csv/runtime_operating_mode.csv,resolved_carrier_subcarrier_spacing,resolved,OK,Resolved runtime subcarrier spacing in kHz.,1,0,0,none,observed
