AbsoluteSymbolIndex,Slot,SymbolInSlot,SymbolStartTime_s,SymbolDuration_s,ScheduledDLBits,ScheduledULBits,ScheduledTotalBits,GoodDLBits,GoodULBits,GoodTotalBits,DLThroughput_Mbps,ULThroughput_Mbps,TotalScheduledThroughput_Mbps,DLGoodput_Mbps,ULGoodput_Mbps,TotalGoodput_Mbps,DLGrantCount,ULGrantCount,TotalGrantCount,MaxDLMCS,MeanDLCQI,ValueSource,ValueRole,ValueStatus
63,4,7,0.00225,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
64,4,8,0.00228571428571429,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
65,4,9,0.00232142857142857,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
66,4,10,0.00235714285714286,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
67,4,11,0.00239285714285714,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
68,4,12,0.00242857142857143,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
69,4,13,0.00246428571428571,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
70,5,0,0.0025,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
71,5,1,0.00253571428571429,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
72,5,2,0.00257142857142857,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
73,5,3,0.00260714285714286,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
