CaseID,PreambleIndex,Format,SequenceLength,RootSequenceIndex,CyclicShift,NCS,RestrictedSet,SequenceSHA256,IndexSHA256,IndependentMismatchCount,Status
PRACH-SEQUENCE-001,51,0,839,1,690,8,UnrestrictedSet,4e50a593f2a39ef2a16779fd4e4d63d007199b5a2d3f24db0fb59e4f2c176335,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,52,0,839,1,736,8,UnrestrictedSet,a2ddb41fd6f4045b2ec26540a657495201c872119b88e65b9bde7f30869eec7e,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,53,0,839,1,782,8,UnrestrictedSet,5ed2822adbc077cebf9807a5f2190302be79629171bae5f6cff1d4f1c3e19907,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,54,0,839,1,0,8,UnrestrictedSet,7625745b0cd4b8c091f1c965b66794d52733af403aaf710499a6c694a57a1ccb,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,55,0,839,1,46,8,UnrestrictedSet,1a0908a3d88b9be2ccf8c12095ccf66d26a8d18a017c3fdd7ebe0a64fb4969e4,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,56,0,839,1,92,8,UnrestrictedSet,165f8c652678d55a56330282eae823790d5f335cfe22fe0700a8530a4f788f24,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,57,0,839,1,138,8,UnrestrictedSet,1323032022c74d91473f32c4f347e0b78c361b617f3f2763fcd67c3f3e82bec6,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,58,0,839,1,184,8,UnrestrictedSet,9f3552541de570b2d509826f65385802b5d3799c08b9871f7c3b360a5aa313e2,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,59,0,839,1,230,8,UnrestrictedSet,2ad0db653e3a519b237d14dc2d92a92a278fca3509f9f634e43157eaa2fea4a8,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,60,0,839,1,276,8,UnrestrictedSet,757e38ebaebe7835202dfc9a3616c8c0ac3f09e1d1ef15d72c3fa1bb58556873,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,61,0,839,1,322,8,UnrestrictedSet,2a7eada333b556177ef2efc9b948abd4d4bc4c7a724b4ec93ca44790a74379db,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,62,0,839,1,368,8,UnrestrictedSet,5944969419b472b353d14aed1bfb1cee574c2bfd5bad273a48cc9bbcf56bb7c4,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,63,0,839,1,414,8,UnrestrictedSet,f49698f9a67eaf015c906a3513ff51a23c220cfabb8c0b468ad9a63b6ecb06a2,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
