Scope,ScopeDefinition,Direction,UEID,UEIndex,RNTI,ObservedFrames,ErroredFrames,FER,BLER,BER,FERDefinition,TraceSource,Notes
"ue","single_ue_in_direction_aggregated_per_frame","UL",33,33,33,2,2,1,1,0.360178795483061,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",8,8,8,2,2,1,1,0.270815450643777,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",20,20,20,2,2,1,1,0.308667083854819,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",22,22,22,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",32,32,32,2,2,1,1,0.477021089630931,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",34,34,34,2,2,1,1,0.483831282952548,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",37,37,37,2,1,0.5,0.5,0.129261862917399,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",38,38,38,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",42,42,42,2,1,0.5,0.5,0.179461812425801,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",44,44,44,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",49,49,49,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",1,1,1,2,2,1,1,0.318061735261402,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",7,7,7,2,2,1,1,0.505192557334487,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",11,11,11,2,2,1,1,0.485179575941151,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",17,17,17,2,2,1,1,0.353170189098999,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",21,21,21,2,2,1,1,0.238195110258869,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",25,25,25,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",27,27,27,2,1,0.5,0.5,0.21727607096495,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",28,28,28,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",30,30,30,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",31,31,31,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",36,36,36,2,1,0.5,0.5,0.178656425789701,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",39,39,39,2,1,0.5,0.5,0.0920467185761958,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
